Ranked Venues - HomeGoods / Alabama - Total - Sep 01, 2021 - Aug 31,2022,,,
,,,,,
Rank,Name,Store ID,Total Visits,lat,lng
1,"HomeGoods / 5215 US-280, Birmingham, AL, United States",415,403453,33.42006286,-86.68573381
2,"HomeGoods / 1660 Montgomery Hwy, Hoover, AL, United States",231,396697,33.39283881,-86.8078986
3,"HomeGoods / 2600 McFarland Blvd E, Tuscaloosa, AL, United States",1034,393842,33.18501388,-87.52761229
4,"HomeGoods / 3080 Ross Clark Circle, Dothan, AL, United States",853,368202,31.22710584,-85.43081099
5,"HomeGoods / 1310 Tingle Circle East, Suite F, Mobile, AL, United States",688,319823,30.65240475,-88.11551895
6,"HomeGoods / 5479 Patrick Way, Birmingham, AL, United States",761,266300,33.61003818,-86.62374802
7,"HomeGoods / 5850 University Drive NW, Suite A, Huntsville, AL, United States",568,200023,34.74181903,-86.66475598
