Ranked Venues - Marshalls / Alabama - Total - Sep 01, 2021 - Aug 31,2022,,,
,,,,,
Rank,Name,Store ID,Total Visits,lat,lng
1,"Marshalls / 2750 Carl T Jones Dr SE, Huntsville, AL, United States",422,579489,34.67480735,-86.5457253
2,"Marshalls / South Pine Street, Foley, Alabama, United States",1446,560818,30.37788523,-87.68632428
3,"Marshalls / 7680 Eastchase Pkwy, Montgomery, AL, United States",1355,459410,32.3596849,-86.15858661
4,"Marshalls / 3250 Airport Blvd., Mobile, AL, United States",316,418587,30.67761061,-88.12260762
5,"Marshalls / Grove Boulevard, Hoover, Alabama, United States",1227,395458,33.36105771,-86.85386633
6,"Marshalls / Trussville Crossings Pkwy, Trussville, Alabama, United States",767,330430,33.63910488,-86.62771501
7,"Marshalls / 7950 Highway 72 W Ste 7, Madison, AL, United States",809,266024,34.75430438,-86.74775761
