Ranked Venues - Burlington / Florida - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Burlington / 11301 Nw 12th Street, Miami, FL, United States",348,927800,25.788163345562747,-80.37834745073263
2,"Burlington / 590 W 49th St, Hialeah, FL, United States",261,886591,25.865172950978405,-80.29415155884783
3,"Burlington / 12801 West Sunrise Boulevard, Sunrise, FL, United States",209,770927,26.153095818566076,-80.32019095185386
4,"Burlington / 3800 Us Hwy 98 N 510, Lakeland, FL, United States",554,658119,28.09013291362995,-81.97712773800392
5,"Burlington / 350 Town Center, Sanford, FL, United States",840,604898,28.803598050911056,-81.3377721495629
6,"Burlington / 3001 E Colonial Dr, Orlando, FL, United States",883,548090,28.5552496416866,-81.34608375361599
7,"Burlington / 5737 NW 7th St, Miami, FL, United States",825,533624,25.779909927887893,-80.29004982195508
8,"Burlington / Northwest 183rd Street, Florida, United States",1024,527245,25.93987369951369,-80.24888030083784
9,"Burlington / 6251 W Sample Rd, Coral Springs, FL, United States",402,516943,26.27718462755606,-80.2072852028162
10,"Burlington / 1725 E Hallandale Beach Blvd, Hallandale Beach, FL, United States",491,516449,25.987190360798326,-80.1330788135045
11,"Burlington / 1363 NW St. Lucie West Blvd, Port Saint Lucie, FL, United States",864,478284,27.318028887794302,-80.39022427928141
12,"Burlington / 955 W Brandon Boulevard, Brandon, FL, United States",347,470061,27.935444888326856,-82.29892494594884
13,"Burlington / 10101 Southern Blvd, Royal Palm Beach, FL, United States",811,465065,26.68355772286526,-80.2034471807152
14,"Burlington / 7350 W Commercial Blvd, Lauderhill, FL, United States",1177,439576,26.1926182757505,-80.24918760061666
15,"Burlington / 1115 Cornerstone Blvd, Daytona Beach, FL, United States",578,438345,29.214463999499795,-81.09450179614325
16,"Burlington / Pondella Road, Cape Coral, Florida, United States",1087,388304,26.66859885484524,-81.9340050495616
17,"Burlington / 19191 S Dixie Hwy, Cutler Bay, FL, United States",1011,384789,25.588540181783216,-80.35790069969615
18,"Burlington / 3895 W 20th Ave, Hialeah, Florida, United States",1175,381985,25.856661480827757,-80.32152203558095
19,"Burlington / 1241 Posner Blvd, Davenport, FL, United States",1141,379602,28.224488288358664,-81.64164521869249
20,"Burlington / 651 S State Road 7, Hollywood, FL, United States",971,373788,26.003553111791756,-80.20540863365879
21,"Burlington / 2601 Okeechobee Blvd, West Palm Beach, FL, United States",958,371276,26.70786914080996,-80.09242845615739
22,"Burlington / 3950 S Dale Mabry Hwy, Tampa, FL, United States",349,361344,27.905656276500828,-82.50547485066092
23,"Burlington / 8944 W State Rd, Davie, FL, United States",786,359002,26.101416626823248,-80.2690984287395
24,"Burlington / 7475 W Colonial Dr, Orlando, FL, United States",453,353038,28.552808259617805,-81.48352035975329
25,"Burlington / 1205 Cortez Rd W, Bradenton, FL, United States",NA,343628,27.460998716833185,-82.57361461336595
26,"Burlington / 4650 South Cleveland Avenue, Suite 13a, Fort Myers, FL, United States",311,336839,26.59399683836719,-81.8747416873321
27,"Burlington / 2403 Sw 27th Ave, Ocala, FL, United States",856,333372,29.16607282483328,-82.16638686186313
28,"Burlington / 1325, 20851 FL-7, Boca Raton, FL, United States",1057,328957,26.36552726699455,-80.20499198467029
29,"Burlington / 2669 Gulf to Bay Blvd, Clearwater, FL, United States",1153,319849,27.957645802851765,-82.72670283904958
30,"Burlington / 10790 Biscayne Blvd, Miami, FL, United States",1103,318857,25.874067567776358,-80.17320772711123
31,"Burlington / 4100 Oakwood Blvd, Hollywood, FL, United States",1075,316180,26.046885375549753,-80.16117095106577
32,"Burlington / 9839 S Military Trl, Boynton Beach, FL, United States",580,315678,26.530874832863915,-80.12438184236558
33,"Burlington / 7351 Seminole Blvd, Seminole, FL, United States",NA,309970,27.83872635325604,-82.78554471099473
34,"Burlington / 8204 S Orange Blossom Trl, Orlando, FL, United States",322,308600,28.4460628751922,-81.40393722598542
35,"Burlington / 11250 Old St Augustine Rd, Jacksonville, FL, United States",416,308052,30.171114756408453,-81.60630144286715
36,"Burlington / 740 W Osceola Pkwy, Kissimmee, FL, United States",983,303897,28.33810690853052,-81.40970049713673
37,"Burlington / 12059 2 Street, Florida, United States",1211,296563,26.005913980541965,-80.30925048136677
