Ranked Venues - Burlington / Tennessee - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Burlington / 719 Thompson Lane Space 20, Nashville, TN, United States",47,519618,36.10757847558683,-86.76325408583898
2,"Burlington / 5048 Park Ave, Memphis, TN, United States",32,336371,35.10797936588399,-89.89427563963955
3,"Burlington / 345 North Gate Mall, Chattanooga, TN, United States",874,252000,35.129243918260165,-85.23966118530717
4,"Burlington / 297 N Seven Oaks Dr, Knoxville, TN, United States",123,232446,35.91326397267116,-84.09947421614497
5,"Burlington / 2520 Lifestyle Way, Chattanooga, Tennessee, United States",1046,227432,35.04437690080256,-85.15258562515021
6,"Burlington / 7761 Winchester Rd, Memphis, TN, United States",277,218684,35.0466792051024,-89.80510103685882
7,"Burlington / 8044 Giacosa Pl, Memphis, TN, United States",1222,212808,35.19962262570292,-89.7950651486389
8,"Burlington / 4991 Stage Rd, Memphis, TN, United States",403,208886,35.20539608227694,-89.89696467182668
9,"Burlington / 2615 Medical Center Parkway, Ste 900, Murfreesboro, TN, United States",1228,207209,35.86038114671877,-86.44799416831917
10,"Burlington / 1116 E Stone Dr, Kingsport, TN, United States",108,193766,36.55312857714449,-82.52821703521516
11,"Burlington / 8141 Sawyer Brown Rd, Nashville, TN, United States",1023,192019,36.0815927197721,-86.94529114715091
12,"Burlington / 1791 Gallatin Pike N, Madison, TN, United States",1264,183248,36.29672362876098,-86.7014982766742
