Ranked Venues - Kohl's / Florida - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Kohl's / 2514 State Road 580, Clearwater, FL, United States",248846,627180,28.021370854654016,-82.73305528488977
2,"Kohl's / 9357 Ben C Pratt/6 Mile Cypress Pkwy, Fort Myers, FL, United States",249012,581000,26.60709888410287,-81.80707537817027
3,"Kohl's / 1401 Town Center Dr, Lakeland, FL, United States",248813,555994,28.001636058000003,-81.97877229936135
4,"Kohl's / 11151 Lake Brandon Dr, Brandon, FL, United States",248854,552378,27.919530384037973,-82.3269338618041
5,"Kohl's / 945 W State Rd 436 #1155, Altamonte Springs, FL, United States",248807,538299,28.667763717524924,-81.42188800910142
6,"Kohl's / 1901 N Congress Ave, Boynton Beach, FL, United States",248984,534774,26.54527247577766,-80.09256049331083
7,"Kohl's / 12200 Miramar Pkwy, Miramar, FL, United States",249005,512117,25.976535962384858,-80.30878594843207
8,"Kohl's / 6950 N State Road 7, Coconut Creek, FL, United States",249000,507181,26.31639921125104,-80.20054518028223
9,"Kohl's / 11800 Mills Dr, Kendall, FL, United States",249004,495150,25.68997503432898,-80.3841888836392
10,"Kohl's / 422 N Alafaya Trail, Orlando, FL, United States",248812,469315,28.552567774965826,-81.20855873485516
11,"Kohl's / 513 SW Pine Island Rd, Cape Coral, FL, United States",248844,469241,26.65006034948276,-81.98573849971626
12,"Kohl's / 5521 Deep Lake Rd, Oviedo, FL, United States",248941,466822,28.61606034279246,-81.2601784705718
13,"Kohl's / 4820 Park St N, Saint Petersburg, FL, United States",248933,464864,27.815618105240613,-82.75612726731832
14,"Kohl's / 205 Palm Bay Rd NE, West Melbourne, FL, United States",249046,455402,28.037273536121667,-80.66649850412354
15,"Kohl's / 3200 N John Young Pkwy, Kissimmee, FL, United States",248809,451703,28.343338107085856,-81.42375969562421
16,"Kohl's / 492 N US Highway 441, Lady Lake, FL, United States",248990,449668,28.92960493384062,-81.9319982763714
17,"Kohl's / 1065 Harley Strickland Blvd,, Orange City, FL, United States",248810,437769,28.918836400473804,-81.28362317309683
18,"Kohl's / 8751 Southern Blvd, Royal Palm Beach, FL, United States",249037,437250,26.681641150473283,-80.1816867423976
19,"Kohl's / 6729 Colonnade Ave, Viera, FL, United States",248811,434068,28.239619491926767,-80.7269313883184
20,"Kohl's / 13760 Old Saint Augustine Rd, Jacksonville, FL, United States",248800,427994,30.14089292154444,-81.55193050297649
21,"Kohl's / 4465 SW 40th Ave, Ocala, FL, United States",248976,420439,29.14328997794934,-82.18626375435736
22,"Kohl's / 9300 Baldridge Rd, Pensacola, FL, United States",248895,419942,30.52993916049066,-87.22710835514164
23,"Kohl's / 821 S University Dr, Plantation, FL, United States",249006,412182,26.1132090320852,-80.25227775159583
24,"Kohl's / 1995 Eastwest Pkwy, Fleming Island, FL, United States",248801,405367,30.099003829642957,-81.72022023231791
25,"Kohl's / 11824 Atlantic Blvd, Jacksonville, FL, United States",248799,405081,30.31800962738867,-81.49538666426503
26,"Kohl's / 3979 Van Dyke Rd, Lutz, FL, United States",248853,404724,28.129605232338758,-82.50597452470888
27,"Kohl's / 9001 W Atlantic Blvd, Coral Springs, FL, United States",249114,401211,26.240756116797,-80.24682502880898
28,"Kohl's / 8333 Little Rd, New Port Richey, FL, United States",248920,399197,28.277973493011295,-82.67646467455927
29,"Kohl's / 2700 E Burleigh Blvd, Eustis, FL, United States",249030,393412,28.82030705301673,-81.69863827328741
30,"Kohl's / 2751 NW Mall Cir, Jensen Beach, FL, United States",248939,391326,27.23868600703837,-80.27168809997625
31,"Kohl's / 6381 Naples Blvd, Naples, FL, United States",248919,383506,26.221838592186394,-81.77257091685541
32,"Kohl's / 5205 University Pkwy, University Park, FL, United States",248930,381637,27.389966470148675,-82.46753595078631
33,"Kohl's / 1682 Taylor Rd, Port Orange, FL, United States",249026,380662,29.105575693318702,-81.03514830059228
34,"Kohl's / 12305 US Highway 27, Clermont, FL, United States",248808,363451,28.524690217927485,-81.73329954397035
35,"Kohl's / 19600 Cochran Blvd Ste G,, Port Charlotte, FL, United States",248975,359070,27.013393743487814,-82.13585347124918
36,"Kohl's / 1275 Nw 107th Ave, Doral, FL, United States",249115,356795,25.785853389092967,-80.36388074944283
37,"Kohl's / 4999 Sheridan St, Hollywood, FL, United States",249002,348749,26.034710987646303,-80.1951335241497
38,"Kohl's / 3100 Aerial Way, Brooksville, FL, United States",249029,340565,28.47913059082005,-82.47648478052155
39,"Kohl's / 800 Beal Pkwy NW, Fort Walton Beach, FL, United States",249013,333095,30.448204521807753,-86.64005211323233
40,"Kohl's / 1371 Rinehart Rd, Sanford, FL, United States",248972,328047,28.794575073324822,-81.33335259744857
41,"Kohl's / 2455 NE 10th Ct, Homestead, FL, United States",249003,321619,25.480297222136215,-80.44364385831194
42,"Kohl's / 9701 Crosshill Blvd, Jacksonville, FL, United States",248971,314851,30.199522523853858,-81.82898470029697
43,"Kohl's / 7143 Narcoossee Rd, Orlando, FL, United States",248991,311930,28.461535001645622,-81.26966885935394
44,"Kohl's / 665 Palm Coast Pkwy SW, Palm Coast, FL, United States",249025,310421,29.55072472495882,-81.23855641206855
45,"Kohl's / 2010 Apalachee Pkwy, Tallahassee, FL, United States",248987,300310,30.433352140358735,-84.2482811488184
46,"Kohl's / 2803 Ridge Way, Lake Wales, FL, United States",249007,289915,27.961635301819076,-81.62139687646881
47,"Kohl's / 2610 Martin Luther King Jr Blvd, Panama City, FL, United States",702145,286737,30.195015125253605,-85.64890336789261
48,"Kohl's / 400 N Congress Ave, Lake Park, FL, United States",249024,282832,26.80304150517356,-80.08317370397708
49,"Kohl's / 3501 SW Archer Rd, Gainesville, FL, United States",248999,263347,29.623667122364548,-82.37345077114065
50,"Kohl's / 3950 Central Sarasota Pkwy, Sarasota, FL, United States",249116,234142,27.224593351589995,-82.49012115403787
51,"Kohl's / 463893 State Road 200, Yulee, FL, United States",249126,175047,30.62749380561459,-81.54389373344885
