Ranked Venues - Kohl's / Tennessee - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Kohl's / 2550 E Morris Blvd,, Morristown, TN, United States",248871,588026,36.22072511620916,-83.26011249069522
2,"Kohl's / 1030 Glenbrook Way, Hendersonville, TN, United States",248649,503988,36.33466036584097,-86.62418151828953
3,"Kohl's / 2535 Old Fort Pkwy, Murfreesboro, TN, United States",248650,462298,35.84318530725153,-86.4437156224268
4,"Kohl's / 220 Morrell Rd, Knoxville, TN, United States",248542,445887,35.926856145013254,-84.0315785078425
5,"Kohl's / 11530 Kingston Pike, Farragut, TN, United States",248543,418345,35.877130917774906,-84.16561292315903
6,"Kohl's / 1131 Vann Dr, Jackson, TN, United States",248802,409556,35.66624377190087,-88.86153232662592
7,"Kohl's / 2335 N Germantown Pkwy, Cordova, TN, United States",248759,407725,35.18937775011484,-89.79632565545607
8,"Kohl's / 4580 Frontage Rd NW, Cleveland, TN, United States",248989,404792,35.21779299386275,-84.86534701375876
9,"Kohl's / 1812 Gunbarrel Rd,, Chattanooga, TN, United States",248617,402676,35.02304794996942,-85.15607438497713
10,"Kohl's / 2840 Wilma Rudolph Blvd, Clarksville, TN, United States",248850,396081,36.592317678839436,-87.29537054516297
11,"Kohl's / 190 Marketplace Dr, Johnson City, TN, United States",248501,391805,36.342451539893204,-82.40876011636539
12,"Kohl's / 300 Spring Creek Dr, Franklin, TN, United States",248647,386171,35.936758133641256,-86.81952886576018
13,"Kohl's / 5312 Washington Pike, Knoxville, TN, United States",248541,381871,36.03572117516541,-83.88413415858274
14,"Kohl's / 2626 E Stone Dr Ste 190, Kingsport, TN, United States",248968,371986,36.55255353059823,-82.49302316225175
15,"Kohl's / 819 Industrial Blvd,, Smyrna, TN, United States",248969,365835,35.981196366760166,-86.56834600328226
16,"Kohl's / 2330 Jackson Downs Blvd, Nashville, TN, United States",248648,357492,36.18357999688853,-86.63480661843283
17,"Kohl's / 700 W Jackson St,, Cookeville, TN, United States",248873,323738,36.15433958241549,-85.52338976328657
18,"Kohl's / 1020 Crossings Blvd, Spring Hill, TN, United States",248872,305453,35.738750389475264,-86.94105587302705
19,"Kohl's / 5953 Highway 153,, Hixson, TN, United States",249113,249551,35.16527202159365,-85.25034080935905
20,"Kohl's / 3575 S Houston Levee Rd, Collierville, TN, United States",248760,175574,35.05090994220461,-89.73570225253523
