Ranked Venues - Lowe's / Alabama - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Lowe's / 615 George Wallace Drive, Gadsden, AL, United States",1640,1097125,33.99724905262951,-85.99688025733505
2,"Lowe's / 7760 Airport Blvd, Mobile, AL, United States",0549,1086898,30.686550315533925,-88.2240802044963
3,"Lowe's / 2671 Ross Clark Circle, Dothan, AL, United States",0606,1019649,31.20552710707251,-85.42455628658895
4,"Lowe's / 1717 Cherokee Avenue SW, Cullman, AL, United States",0313,1016884,34.15685388131112,-86.84065289847779
5,"Lowe's / 1335 Walker Chapel Road, Fultondale, AL, United States",1744,1005913,33.61052164681267,-86.80373718870608
6,"Lowe's / 4401 Rangeline Rd, Mobile, AL, United States",1599,990181,30.599580289923317,-88.16437367434077
7,"Lowe's / 151 E I-65 Service Rd S, Mobile, AL, United States",0212,950153,30.68178196146442,-88.12514417266918
8,"Lowe's / 1301 Boll Weevil Circle, Enterprise, AL, United States",0281,945713,31.332187224007313,-85.86102993476712
9,"Lowe's / 29645 Frederick Boulevard, Daphne, AL, United States",2251,931114,30.65710464636758,-87.85522631183568
10,"Lowe's / 11190 US Highway 431, Guntersville, AL, United States",1115,926720,34.300181265617255,-86.26753575039638
11,"Lowe's / 235 Colonial Promenade Parkway, Alabaster, AL, United States",2525,913288,33.231007042698145,-86.80510168045953
12,"Lowe's / 130 Cox Creek Pkwy South, Florence, AL, United States",0481,906734,34.82780138430101,-87.63042896145511
13,"Lowe's / 3415 Woodward Avenue, Muscle Shoals, AL, United States",1093,877809,34.7264301815882,-87.66557606637708
14,"Lowe's / 1201 19th Street North, Bessemer, AL, United States",1531,842783,33.41055573138808,-86.96542311591047
15,"Lowe's / 7920 Highway 72 West, Madison, AL, United States",0663,838897,34.75503269320856,-86.74607622615798
16,"Lowe's / 1701 Frederick Road, Opelika, AL, United States",0736,830233,32.62005366791212,-85.40151850605282
17,"Lowe's / 1109 US Highway 72 East, Athens, AL, United States",1799,828488,34.78759072533839,-86.95141499942251
18,"Lowe's / 4900 Oscar Baxter Drive, Tuscaloosa, AL, United States",0423,805532,33.1674247905636,-87.5545759177345
19,"Lowe's / 4801 Montgomery Highway, Dothan, AL, United States",2884,800014,31.266654031690628,-85.44899868214047
20,"Lowe's / 2307 Cobbs Ford Road, Prattville, AL, United States",1181,791576,32.46267489493947,-86.40146146789046
21,"Lowe's / 3505 Memorial Pkwy Nw, Huntsville, AL, United States",1577,789420,34.77327836628455,-86.58821976040188
22,"Lowe's / 5703 McFarland Blvd, Northport, AL, United States",2488,785262,33.232836428981166,-87.61314392078421
23,"Lowe's / 1641 Beltline Road SW, Decatur, AL, United States",1176,775966,34.56798382861531,-87.01473231869458
24,"Lowe's / 375 State Farm Pkwy, Homewood, AL, United States",0580,756761,33.44514064730089,-86.83094173142955
25,"Lowe's / 3101 South Mckenzie Hwy 59, Foley, AL, United States",0577,756522,30.368873903380948,-87.68002619036065
26,"Lowe's / 1836 US Highway 78 E, Oxford, AL, United States",0698,725617,33.613110765744324,-85.79450569875421
27,"Lowe's / 5291 US-280, Birmingham, AL, United States",1726,700862,33.42063276718193,-86.67979877568237
28,"Lowe's / 1600 Glenn Boulevard SW, Fort Payne, AL, United States",1786,697202,34.43576874649368,-85.75501778875551
29,"Lowe's / 1885 Edwards Lake Rd, Birmingham, AL, United States",0594,657300,33.5975518029956,-86.64978954093698
30,"Lowe's / 1950 Eastern Blvd, Montgomery, AL, United States",0441,648951,32.35493354450093,-86.22047338015946
31,"Lowe's / 4901 Mcclellan Boulevard, Anniston, AL, United States",2659,620816,33.70881518024558,-85.81843950043739
32,"Lowe's / 10050 S Memorial Parkway, Huntsville, AL, United States",0411,585475,34.64231020263955,-86.56887405691741
33,"Lowe's / 4501 US Highway 231, Wetumpka, AL, United States",2885,584492,32.508135322903925,-86.2172856040127
34,"Lowe's / 2100 Valleydale Road, Hoover, AL, United States",0620,553923,33.359654431507735,-86.77526233033
35,"Lowe's / 1421 US Highway 231 South, Troy, AL, United States",2212,539050,31.777333243984586,-85.94189832229956
36,"Lowe's / 8900 Weaver Avenue, Leeds, AL, United States",1737,535340,33.56520450990883,-86.51769309649676
37,"Lowe's / 6584 US Highway 431 South, Owens Cross Roads, AL, United States",2451,518980,34.66314059109949,-86.48718192942628
38,"Lowe's / 1807 Highway 31 NW, Hartselle, AL, United States",3006,499697,34.462391137192185,-86.95197693590437
