Ranked Venues - Ross Dress for Less / Alabama - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Ross Dress for Less / 1241 point mallard parkway, Decatur, AL, United States",1182,543864,34.55872252852695,-86.97179096017365
2,"Ross Dress for Less / 4401 Montgomery Hwy, Dothan, AL, United States",1155,436236,31.265271959285997,-85.4444772929439
3,"Ross Dress for Less / 2556 Berryhill Rd, Montgomery, AL, United States",734,435366,32.35953607979695,-86.1603647246621
4,"Ross Dress for Less / 6275 University Dr NW, Huntsville, AL, United States",620,397660,34.74115653392083,-86.67957740473985
5,"Ross Dress for Less / 3375 Lowery Pkwy, Fultondale, AL, United States",1243,389914,33.60298462833994,-86.8052419182543
6,"Ross Dress for Less / McFarland Boulevard East, Tuscaloosa, Alabama, United States",1592,383410,33.1850257717379,-87.52837920217647
7,"Ross Dress for Less / 4909 Promenade Pkwy, Bessemer, AL, Bessemer, AL, United States",1234,373667,33.335246572040894,-86.99097872519549
8,"Ross Dress for Less / 2760 Legends Pkwy Prattville al 36066, Prattville, AL, United States",1132,355349,32.45717164748871,-86.39481203519773
9,"Ross Dress for Less / 300 Colonial Promenade Pkwy., Alabaster, AL, United States",865,351071,33.23177242852784,-86.8021429872165
10,"Ross Dress for Less / 1310 Tingle Circle E, Mobile, AL, United States",1836,344044,30.65272092784179,-88.1157314524777
11,"Ross Dress for Less / 130 Oxford Exchange Blvd, Oxford, AL, United States",1105,341897,33.607346918437564,-85.78352212213701
12,"Ross Dress for Less / 7765 Airport Blvd., Mobile, AL, United States",1845,339385,30.680714145066496,-88.22385094503035
13,"Ross Dress for Less / 2087 Tiger Town Pkwy, Opelika, AL, United States",718,325275,32.618424585841794,-85.40461078049704
14,"Ross Dress for Less / 4361 Creekside Ave., Hoover, AL, United States",721,313067,33.376186362615336,-86.8169983821
15,"Ross Dress for Less / 2450 McKenzie Street, Foley, AL, United States",1900,312637,30.37985734431165,-87.68628762664325
16,"Ross Dress for Less / 1224 Cullman Shopping Center, Cullman, AL, United States",1789,300495,34.183259320237404,-86.85142857284275
17,"Ross Dress for Less / 356 Cox Creek Parkway, Florence, AL, United States",1408,295944,34.839257850434606,-87.63208279083244
18,"Ross Dress for Less / 8213 Hwy 72 W, Madison, AL, United States",1578,289379,34.74900304641305,-86.75833068006378
19,"Ross Dress for Less / 838 Christopher Circle, Albertville, Alabama, United States",1876,280078,34.27935270081493,-86.20716227326872
20,"Ross Dress for Less / 10200 Eastern Shore Blvd, Spanish Fort, AL, United States",852,267816,30.664260764799845,-87.8478552815985
21,"Ross Dress for Less / 1616 Montclair Rd., Birmingham, AL, United States",1131,265682,33.5281172457958,-86.72229527499309
22,"Ross Dress for Less / 520 Meighan Blvd, Gadsden, AL, United States",1602,257489,34.01132803110069,-85.98565309702254
23,"Ross Dress for Less / 5933 Trussville Crossing Parkway, Trussville, AL, United States",1974,244917,33.63916040830232,-86.62726673405787
24,"Ross Dress for Less / 933 Ann St., Montgomery, AL, United States",977,223851,32.36946421763868,-86.26839344268531
