Ranked Venues - Ross Dress for Less / Tennessee - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Ross Dress for Less / 496 N. Thompson Lane, Murfreesboro, TN, United States",675,533136,35.855614590447985,-86.42750569595903
2,"Ross Dress for Less / 3211 Peoples St., Johnson City, TN, United States",688,490858,36.34572403203308,-82.40027609525009
3,"Ross Dress for Less / 509 S Davy Crockett Pkwy, Morristown, TN, United States",876,422846,36.21193633775285,-83.25704370382098
4,"Ross Dress for Less / 1109 Vann Dr., Jackson, TN, United States",843,414290,35.666829248388446,-88.86123036224541
5,"Ross Dress for Less / 2265 N Germantown Pkwy, Cordova, TN, United States",1083,412794,35.187081568222084,-89.79449602632357
6,"Ross Dress for Less / 4310 Summer Ave., Memphis, TN, United States",1084,406232,35.15045311109717,-89.91728890179434
7,"Ross Dress for Less / 813 Industrial Blvd, Smyrna, TN, United States",1173,405112,35.97973358140758,-86.568598548056
8,"Ross Dress for Less / 2003 N Eastman Rd., Kingsport, TN, United States",845,371057,36.54392186177049,-82.51624030391496
9,"Ross Dress for Less / 4530 Frontage Rd. NW, Cleveland, TN, United States",1249,358260,35.21542845444632,-84.86696955548474
10,"Ross Dress for Less / 1265 Interstate Drive, Ste 121, Cookeville, TN, United States",1914,357762,36.141296993253235,-85.50879465151654
11,"Ross Dress for Less / 719 Thompson Ln, Nashville, TN, United States",772,355629,36.107147725308224,-86.76289118297902
12,"Ross Dress for Less / Hendersonville, TN, United States",748,353211,36.33444139476618,-86.62340561269858
13,"Ross Dress for Less / 6725 Clinton Hwy, Knoxville, TN, United States",786,349522,36.005091047014055,-84.0240511975762
14,"Ross Dress for Less / 3601 Riverdale Rd., Memphis, TN, United States",1154,339912,35.050342074699635,-89.8315781778871
15,"Ross Dress for Less / 2040 Hamilton Place Blvd, Chattanooga, TN, United States",650,327678,35.03032360871111,-85.15957216554285
16,"Ross Dress for Less / Parkside Drive, Knoxville, Tennessee, United States",638,316047,35.900123483594406,-84.15289036590454
17,"Ross Dress for Less / 401 S Mount Juliet Rd, Mount Juliet, TN, United States",1003,294441,36.16621784076751,-86.507587401527
18,"Ross Dress for Less / 119 Hamilton Crossing Dr, Alcoa, TN, United States",1117,291799,35.77028338537948,-83.9852539667815
19,"Ross Dress for Less / 8540 US Highway 51 N STE 105, Millington, TN, United States",1875,289847,35.35865611256936,-89.89043756783535
20,"Ross Dress for Less / 5439 Washington Pike, Knoxville, TN, United States",1174,286223,36.03764049531913,-83.88654465446643
21,"Ross Dress for Less / 8079 Kingston Pike, Knoxville, TN, United States",1116,260203,35.92649399337705,-84.0484557321541
22,"Ross Dress for Less / 166 Thornton Dr, Dickson, TN, United States",1815,241008,36.06501214607058,-87.38206321590981
23,"Ross Dress for Less / 821 S James Campbell Blvd, Columbia, TN, United States",1042,228225,35.59626769588714,-87.05929664408261
24,"Ross Dress for Less / 1614 Galleria Blvd, Brentwood, TN, United States",823,219721,35.96918530949795,-86.807881266532
25,"Ross Dress for Less / 713 Winfield Dunn Pkwy., Sevierville, TN, United States",1844,218319,35.88147290042025,-83.57056881234634
26,"Ross Dress for Less / 6808 Charlotte Pike, Nashville, TN, United States",1032,213894,36.13636584251501,-86.89067612555456
27,"Ross Dress for Less / 4644 Lebanon Pike, Hermitage, TN, United States",851,207364,36.21728567677948,-86.59533423253248
28,"Ross Dress for Less / 1353 Tusculum Blvd., Greeneville, TN, United States",2164,204352,36.17546155829165,-82.79775923532738
29,"Ross Dress for Less / 10249 E Shelby Dr., Collierville, TN, United States",1224,190092,35.018525401919675,-89.72130312925115
30,"Ross Dress for Less / 600 Northgate Mall Dr., Chattanooga, TN, United States",1614,172912,35.131795214638935,-85.24234951199851
31,"Ross Dress for Less / 1022 Crossings Blvd, Spring Hill, TN, United States",1268,168782,35.739283410416085,-86.94057254563167
32,"Ross Dress for Less / 8155 Sawyer Brown Rd, Nashville, TN, United States",2028,135321,36.080304930492595,-86.94546293207584
33,"Ross Dress for Less / 2300 Madison Street, Clarksville, TN, United States",2285,123044,36.50647127903379,-87.27173514239999
