Ranked Venues - The Home Depot / Alabama - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"The Home Depot / 3670 Galleria Circle, Birmingham, AL, United States",0881,988054,33.37601223841216,-86.81161980738926
2,"The Home Depot / 2190 Tigertown Parkway, Opelika, AL, United States",0816,983233,32.62098020129111,-85.4077290120288
3,"The Home Depot / 1808 Highway 78 E, Jasper, AL, United States",0810,939987,33.84712823460001,-87.25314467128115
4,"The Home Depot / 1601 13th Ave East, Tuscaloosa, AL, United States",0877,936829,33.1955165692836,-87.51782611797097
5,"The Home Depot / 1600 Gadsden Hwy, Trussville, AL, United States",0887,850140,33.60226970078338,-86.64224530484104
6,"The Home Depot / 3784 US, Phenix City, AL, United States",0817,844656,32.50767501237983,-85.05068314434844
7,"The Home Depot / 1035 Memorial Pkwy, Huntsville, AL, United States",0804,806647,34.74127867317242,-86.60310238387879
8,"The Home Depot / 3191 Pelham Pkwy, Pelham, AL, United States",0805,723224,33.284029973365364,-86.80875440231262
9,"The Home Depot / 4045 Lawson Ridge Dr, Madison, AL, United States",803,695121,34.75744837327797,-86.73924856099877
10,"The Home Depot / 2312 Eastern Blvd, Montgomery, AL, United States",883,665654,32.351165338000015,-86.22318802212546
11,"The Home Depot / 289 Vaughan Lane, Pell City, AL, United States",0818,648980,33.60942241061717,-86.27420189556479
12,"The Home Depot / 4995 Hwy 280, Birmingham, AL, United States",0875,647231,33.42230550965367,-86.69522578921425
13,"The Home Depot / 851 Mont Limar Dr, Mobile, AL, United States",865,644780,30.673360593325825,-88.13339234594187
14,"The Home Depot / 2710 Legends Parkway, Prattville, AL, United States",0806,643596,32.45711593186365,-86.39963214535743
15,"The Home Depot / 10655 Chantilly Pkwy, Montgomery, AL, United States",0813,639060,32.357895761227006,-86.13108142420614
16,"The Home Depot / 755 Schillinger Rd S, Mobile, AL, United States",0801,634896,30.67521840686052,-88.22322500065172
17,"The Home Depot / 7001 Crestwood Blvd, Suite 1300, Birmingham, AL, United States",0880,628537,33.52910829428001,-86.73261485079526
18,"The Home Depot / 24635 John T Reid Pkwy, Scottsboro, AL, United States",812,602856,34.66466981434937,-86.00972247337549
19,"The Home Depot / 41310 Us Hwy 280, Sylacauga, AL, United States",0809,586852,33.17205063657277,-86.28853802218198
20,"The Home Depot / 3489 Ross Clark Circle, Dothan, AL, United States",0808,569065,31.247129846447237,-85.42942900403821
21,"The Home Depot / 7100 Hwy 90, Daphne, AL, United States",863,568886,30.653358311639774,-87.90170435711626
22,"The Home Depot / 2899 S Mckenzie Street, Foley, AL, United States",802,566624,30.37216847309974,-87.6802349349461
23,"The Home Depot / 350 Crystal Water Drive, Oxford, AL, United States",866,557123,33.605255244027994,-85.7840593787427
24,"The Home Depot / 6405 Flintridge Drive, Fairfield, AL, United States",882,554474,33.477961787263474,-86.92032309090533
25,"The Home Depot / 10012 S Memorial Pkwy, Huntsville, AL, United States",888,548812,34.64531454447456,-86.5692712553456
26,"The Home Depot / 351 Seville Street, Florence, AL, United States",8577,537133,34.83910362382042,-87.62927621961275
27,"The Home Depot / 1225 Wimberly Dr Sw, Decatur, AL, United States",884,529634,34.55741993199648,-87.00569529037864
28,"The Home Depot / 1460 Hwy 280, Alexander City, AL, United States",6889,389150,32.949676401635294,-85.99248838055782
