Ranked Venues - Walmart / Alabama - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Walmart / 1011 Us Highway 72 E, Athens, AL, United States",661,2735373,34.788648544022664,-86.95883357446614
2,"Walmart / 170 E Fort Morgan Rd, Gulf Shores, AL, United States",2748,2675117,30.267389956001512,-87.68618602157919
3,"Walmart / 5245 Rangeline Service Rd S, Mobile, AL, United States",866,2665536,30.593559837878896,-88.16284813326008
4,"Walmart / 1095 Industrial Pkwy, Saraland, AL, United States",1212,2646464,30.799400948615876,-88.09698519831908
5,"Walmart / 890 Odum Rd, Gardendale, AL, United States",1201,2633777,33.64696740738556,-86.8228074864257
6,"Walmart / 1501 Skyland Blvd E, Tuscaloosa, AL, United States",715,2602518,33.1652564704476,-87.51865083165549
7,"Walmart / 626 Olive St SW, Cullman, AL, United States",670,2583065,34.149128295929835,-86.842084002634
8,"Walmart / 3100 Hough Rd, Florence, AL, United States",766,2578964,34.83426637099572,-87.6252722388794
9,"Walmart / 92 Plaza Ln, Oxford, AL, United States",809,2564486,33.59903771698933,-85.83235877796756
10,"Walmart / 340 E Meighan Blvd, Gadsden, AL, United States",301,2518193,34.0128305966293,-85.98714238684087
11,"Walmart / 101 E I-65 Service Rd S, Mobile, AL, United States",991,2517462,30.684428732701406,-88.12490186794679
12,"Walmart / 600 Boll Weevil Cir, Enterprise, AL, United States",734,2509890,31.315842998133785,-85.82647364197469
13,"Walmart / 1801 Highway 78 E, Jasper, AL, United States",287,2507436,33.84291074709,-87.25449551865245
14,"Walmart / 4310 Montgomery Hwy, Dothan, AL, United States",604,2502895,31.2679958374946,-85.44119952015463
15,"Walmart / 3700 US Highway 431 N, Phenix City, AL, United States",1284,2478375,32.50132559327957,-85.04348713978553
16,"Walmart / 209 Lakeshore Pkwy, Homewood, AL, United States",1481,2413779,33.44705841060722,-86.82097910404224
17,"Walmart / 2001 Glenn Blvd SW, Fort Payne, AL, United States",691,2410651,34.44016368452496,-85.76198391368649
18,"Walmart / 1501 AL-14, Selma, AL, United States",700,2348906,32.43414894605517,-87.01294606101096
19,"Walmart / 1972 US Highway 431, Boaz, AL, United States",298,2348477,34.21475324301661,-86.15340450438109
20,"Walmart / 1903 Cobbs Ford Rd, Prattville, AL, United States",483,2313398,32.46313261709819,-86.41639320671804
21,"Walmart / 685 Schillinger Rd S, Mobile, AL, United States",853,2300440,30.678195542112682,-88.22258803732896
22,"Walmart / 5919 Trussville Crossings Pkwy, Trussville, AL, United States",2713,2290733,33.63901148625572,-86.62937803029637
23,"Walmart / 24833 John T Reid Pkwy, Scottsboro, AL, United States",712,2262819,34.668498234247515,-86.00606613411692
24,"Walmart / 1420 Highway 231 S, Troy, AL, United States",723,2201995,31.780815190745543,-85.9393980940299
25,"Walmart / 2800 Spring Ave SW, Decatur, AL, United States",662,2194246,34.55648669710542,-86.99594708319778
26,"Walmart / 301 Avalon Ave, Muscle Shoals, AL, United States",660,2172117,34.747667505871966,-87.67360089120179
27,"Walmart / 1007 Red Farmer Dr, Hueytown, AL, United States",4497,2169889,33.46057336670389,-86.96840670053376
28,"Walmart / 1991 M.L.K. Jr Expy, Andalusia, AL, United States",1091,2157565,31.32171827445769,-86.44499535594203
29,"Walmart / 145 Kelley Blvd, Millbrook, AL, United States",4318,2138464,32.49383654366442,-86.39844986230523
30,"Walmart / 5710 McFarland Blvd, Northport, AL, United States",2306,2087211,33.236447913251794,-87.61522078442064
31,"Walmart / 41301 US-280, Sylacauga, AL, United States",730,2060224,33.1760384300382,-86.28547617501992
32,"Walmart / 7855 Moffett Rd, Mobile, AL, United States",5174,2055485,30.76183879288801,-88.22949820672268
33,"Walmart / 1717 S College St, Auburn, AL, United States",356,2021527,32.5708425652652,-85.49655714119369
34,"Walmart / 750 Academy Dr, Bessemer, AL, United States",764,2012672,33.361670407830644,-87.00194359929425
35,"Walmart / 165 Vaughan Ln, Pell City, AL, United States",5113,2009451,33.60938461232174,-86.27714164541474
36,"Walmart / 851 Ann St, Montgomery, AL, United States",5348,2007345,32.37068903758317,-86.26825459884982
37,"Walmart / 11697 Us Highway 431, Guntersville, AL, United States",681,1988118,34.29939354977809,-86.27902636225015
38,"Walmart / 2200 S McKenzie St, Foley, AL, United States",904,1953101,30.382539252241248,-87.68642747239471
39,"Walmart / 5601 AL-157, Cullman, AL, United States",7280,1947789,34.2043298662931,-86.86956775580373
40,"Walmart / 2900 Pepperell Pkwy, Opelika, AL, United States",355,1930385,32.63784550439456,-85.42181275288421
41,"Walmart / 2780 John Hawkins Pkwy, Hoover, AL, United States",1229,1917726,33.36182909974766,-86.82468301910278
42,"Walmart / 6495 Atlanta Hwy, Montgomery, AL, United States",938,1903385,32.385023191626495,-86.18494699666273
43,"Walmart / 2643 Highway 280, Alexander City, AL, United States",726,1899027,32.94133389470059,-85.9758259608423
44,"Walmart / 630 Colonial Promenade Pkwy, Alabaster, AL, United States",423,1889111,33.23545402814161,-86.80126765375064
45,"Walmart / 3300 S Oates St, Dothan, AL, United States",2534,1883547,31.178765218008063,-85.40450891357493
46,"Walmart / 1415 7th St S, Clanton, AL, United States",424,1872348,32.81675048703225,-86.60938502165756
47,"Walmart / 1600 Montclair Rd, Birmingham, AL, United States",1711,1867145,33.52895954269047,-86.72019016716162
48,"Walmart / 5560 McClellan Blvd, Anniston, AL, United States",329,1865571,33.72017192421729,-85.82015681274852
49,"Walmart / 973 Gilbert Ferry Rd SE, Attalla, AL, United States",316,1861190,33.993727925717316,-86.09365560087667
50,"Walmart / 1625 Pelham Rd S, Jacksonville, AL, United States",300,1853020,33.78820176045703,-85.76506937571344
51,"Walmart / 2453 2nd Ave E, Oneonta, AL, United States",315,1840573,33.971255256661344,-86.44656013791185
52,"Walmart / 9248 Parkway E, Birmingham, AL, United States",762,1839695,33.59018054447027,-86.70015833670158
53,"Walmart / 5335 Highway 280, Birmingham, AL, United States",2111,1813964,33.42195388459579,-86.67592915713222
54,"Walmart / 13675 Highway 43, Russellville, AL, United States",403,1777628,34.49531535372532,-87.72896821303388
55,"Walmart / 2701 Cloverdale Road, Florence, AL, United States",4187,1776402,34.84298573159494,-87.69191274566721
56,"Walmart / 14595 Highway 231 431 N, Hazel Green, AL, United States",6878,1748375,34.945855118707144,-86.57474225581821
57,"Walmart / 8551 Whitfield Ave, Leeds, AL, United States",562,1736710,33.56213799127761,-86.51866972222045
58,"Walmart / 10710 Chantilly Pkwy, Montgomery, AL, United States",4407,1725014,32.35475771147782,-86.13494839090235
59,"Walmart / 2473 Hackworth Rd, Forestdale, AL, United States",1158,1721825,33.579159847832486,-86.9242747782591
60,"Walmart / 6140 Univ Drive, Huntsville, AL, United States",332,1686508,34.74702560174634,-86.67586338824842
61,"Walmart / 5100 Highway 31, Calera, AL, United States",3271,1677263,33.146309194920164,-86.75189183352622
62,"Walmart / 15445 Al Highway 24, Moulton, AL, United States",394,1674093,34.49556815905752,-87.27697671230256
63,"Walmart / 8580 Highway 72 W, Huntsville, AL, United States",5703,1672309,34.75108254659794,-86.77356443854858
64,"Walmart / 1537 S US Highway 231, Ozark, AL, United States",740,1642381,31.445212709176058,-85.65077007562866
65,"Walmart / 11610 Memorial Pkwy SW, Huntsville, AL, United States",434,1636279,34.615834411934465,-86.57068637328621
66,"Walmart / 1450 N Brindlee Mountain Pkwy, Arab, AL, United States",306,1632004,34.34187196602088,-86.50011173544961
67,"Walmart / 501 Willow Ln, Greenville, AL, United States",1462,1617758,31.84944844952508,-86.64721982664628
68,"Walmart / 3176 S Eufaula Ave, Eufaula, AL, United States",1638,1608958,31.8435643313787,-85.17104217983662
69,"Walmart / 3031 Memorial Pkwy SW, Huntsville, AL, United States",375,1607142,34.703006366253724,-86.58554818450203
70,"Walmart / 4538 US-231, Wetumpka, AL, United States",1101,1601149,32.50714646990596,-86.21196088175235
71,"Walmart / 969  US Highway 80  W, Demopolis, AL, United States",731,1590690,32.49296870118203,-87.84935413879786
72,"Walmart / 3371 S Alabama Ave, Monroeville, AL, United States",1493,1589782,31.48070430482661,-87.32834240590603
73,"Walmart / 1950 W Main St, Centre, AL, United States",5126,1589113,34.16289957280386,-85.71259703689519
74,"Walmart / 2500 Dawes Rd, Mobile, AL, United States",4581,1581768,30.6390276911606,-88.24636102862658
75,"Walmart / 690 Hwy 78 E, Sumiton, AL, United States",2723,1565668,33.74542496958165,-87.04184544046988
76,"Walmart / 160 Springville Station Blvd, Springville, AL, United States",3386,1547373,33.77970890891762,-86.43279581499137
77,"Walmart / 27520 US Highway 98, Daphne, AL, United States",934,1545700,30.62505976161689,-87.90464260639787
78,"Walmart / 701 McMeans Ave, Bay Minette, AL, United States",2739,1541670,30.886034436130053,-87.79012407417633
79,"Walmart / 3501 20th Ave, Valley, AL, United States",733,1537188,32.834985595180974,-85.17873455199278
