Ranked Venues - Walmart / Tennessee - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Walmart / 1414 Parkway, Sevierville, TN, United States",578,5083217,35.83836837639434,-83.57413107977129
2,"Walmart / 768 S Jefferson Ave, Cookeville, TN, United States",657,2642770,36.14501667470524,-85.49692249841145
3,"Walmart / 475 S Davy Crockett Pkwy, Morristown, TN, United States",685,2599581,36.213659874324385,-83.25507056183665
4,"Walmart / 168 Obed Plz, Ste 108, Crossville, TN, United States",687,2591177,35.98330058701588,-85.03565502655488
5,"Walmart / 1001 Over Mountain Dr, Elizabethton, TN, United States",690,2582788,36.349164640872715,-82.24534507858284
6,"Walmart / 3050 Wilma Rudolph Blvd, Clarksville, TN, United States",673,2562228,36.59475699150148,-87.29125587446882
7,"Walmart / 2650 Lake Rd, Dyersburg, TN, United States",677,2524033,36.063314410767,-89.39189459533249
8,"Walmart / 175 Beasley Dr, Dickson, TN, United States",264,2503461,36.05998887456582,-87.38121510386152
9,"Walmart / 2196 Emporium Dr, Jackson, TN, United States",335,2497505,35.668343490678765,-88.85148176818525
10,"Walmart / 4495 Keith St NW, Cleveland, TN, United States",698,2446663,35.20215867005431,-84.8489476085187
11,"Walmart / 1680 Fort Campbell Blvd, Clarksville, TN, United States",1075,2405838,36.58021459756215,-87.4128774692768
12,"Walmart / 3755 E Andrew Johnson Hwy, Greeneville, TN, United States",680,2404240,36.187695631333504,-82.75949751612198
13,"Walmart / 1815 Decatur Pike, Athens, TN, United States",663,2380150,35.45273874998811,-84.63149781186026
14,"Walmart / 8400 US-64, Bartlett, TN, United States",950,2343894,35.207150567994574,-89.78275407091816
15,"Walmart / 3111 Browns Mill Rd, Johnson City, TN, United States",1080,2342845,36.359488938668335,-82.39894902397903
16,"Walmart / 915 N Chancery St, McMinnville, TN, United States",668,2337826,35.698816186422356,-85.78823801088059
17,"Walmart / 8445 US Highway 51 N, Millington, TN, United States",94,2331951,35.35769129368973,-89.89773438027682
18,"Walmart / 7525 Winchester Rd, Memphis, TN, United States",1248,2331195,35.04765385056224,-89.81133710473051
19,"Walmart / 2171 S Highland Ave, Jackson, TN, United States",393,2309184,35.551078927293105,-88.81096502982392
20,"Walmart / 373 S Illinois Ave, Oak Ridge, TN, United States",1194,2289949,36.00874391694093,-84.25317367482651
21,"Walmart / 8445 Walbrook Dr, Knoxville, TN, United States",2065,2286630,35.92635136621581,-84.06279619487427
22,"Walmart / 2500 W Stone Dr, Kingsport, TN, United States",742,2284909,36.5573730359097,-82.60323606082669
23,"Walmart / 1030 Hunters Xing, Alcoa, TN, United States",672,2249177,35.77124722380408,-83.99181934613684
24,"Walmart / 3200 Fort Henry Dr, Kingsport, TN, United States",599,2241090,36.508673004396556,-82.51917447775203
25,"Walmart / 3051 Kinzel Way, Knoxville, TN, United States",2310,2223750,36.03112744233678,-83.86632245676654
26,"Walmart / 577 N Germantown Pkwy, Germantown, TN, United States",2322,2202864,35.140815028085186,-89.79823668623229
27,"Walmart / 2315 Madison St, Clarksville, TN, United States",3495,2202487,36.5093309276355,-87.26913144292978
28,"Walmart / 2200 Brookmeade Dr, Columbia, TN, United States",192,2181544,35.599012145643,-87.05130852335029
29,"Walmart / 2130 N Locust Ave, Lawrenceburg, TN, United States",683,2149602,35.27338574714729,-87.31485090216418
30,"Walmart / 2410 US Highway 411 S, Maryville, TN, United States",4223,2144634,35.714695393310905,-84.01274960983918
