PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
15_1002,15,Miami,18,Hialeah,Miami-Dade,South Wind,Southwind,149 East 3rd Street,Hialeah,FL,33010,25.8248691,-80.2779955,3058858397,68,56648,1.08,B,C,Completed,,,,1/1/96 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1002
15_1028,15,Miami,18,Hialeah,Miami-Dade,Blackstone,,3699 West 12th Avenue,Hialeah,FL,33012,25.8548891,-80.3054912,3058278020,76,39500,1.81,C,C,Completed,,,,1/1/70 0:00,FALSE,,N,N,N,N,,,,97.4,1135,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1028
15_1059,15,Miami,23,North Miami Beach,Miami-Dade,North Shore,,2102 NE 167th Street,North Miami Beach,FL,33162,25.929212,-80.157516,3059570007,64,43716,2.4,C,C+,Completed,,,,1/1/58 0:00,FALSE,,N,A,N,N,,FALSE,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1059
15_1097561,15,Miami,28,Kendall,Miami-Dade,Eureka Point Gardens,,SW 112th Avenue & SW 184th Street,Miami,FL,33157,25.59849999,-80.37112406,,58,0,2.03,,B-,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1097561
15_1105,15,Miami,25,Fontainebleau - University Park,Miami-Dade,Postmaster,,8800 SW 8th Street,Miami,FL,33174,25.76157,-80.3385869,3052295151,55,33635,0.85,B-,B-,Completed,,,,1/1/08 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1105
15_1108713,15,Miami,30,Goulds,Miami-Dade,Gould's Pointe,,SW 218th Street & Goulds Avenue,Goulds,FL,33170,25.564011,-80.385752,,68,0,0.83,,C-,Planned,7/31/20 0:00,,,,,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1108713
15_1108726,15,Miami,28,Kendall,Miami-Dade,Palmetto Bay,,18300 SW 98th Avenue,Palmetto Bay,FL,33157,25.599338,-80.35041,,58,0,1.17,,C+,Planned,10/7/21 0:00,,,,,,,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1108726
15_1109,15,Miami,14,Miami Beach,Miami-Dade,Riviera Plaza,"Granite at Miami Beach, The, Riviera",337 20th Street,Miami Beach,FL,33139,25.7965176,-80.1307767,7864705799,56,32000,0.43,C+,A,Completed,,,,1/1/92 0:00,FALSE,,N,A,N,N,,TRUE,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1109
15_1129621,15,Miami,30,Goulds,Miami-Dade,"Island Gate Garden, The",,11995 SW 219th Street,Miami,FL,33170,25.563779,-80.386328,,60,0,,,C,Prospective,,,,,,,,P,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1129621
15_1139945,15,Miami,20,Opa-locka,Miami-Dade,1927 NW 105th Street,,1927 NW 105th Street,Miami,FL,33147,25.870784,-80.2309,,57,0,3.9,,C,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1139945
