Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Kroger,num_stores_Piggly_Wiggly,num_stores_Publix,num_stores_Sprouts_Farmers_Market,num_stores_The_Fresh_Market,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,total_visit_Aldi,total_visit_Kroger,total_visit_Piggly_Wiggly,total_visit_Publix,total_visit_Sprouts_Farmers_Market,total_visit_The_Fresh_Market,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,num_grocery_stores,total_grocery_visit,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks,num_malls,tot_stores,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base_x,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,2022 Tapestry Adult Pop Base_y,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",1,0,0,2,1,1,0,0,0,1,169309,0,0,1257011,191376,188122,0,0,0,323736,6,2129554,0,22,1,0,,1065.0707242887913,903.2608695652174,,,1345.090909090909,1075.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,2,3,6,1,2,0,349583,304749,2011546,578749,2263822,11009789,396697,1098862,,0,0,5,176.0,43629,1404.5,91500,200728,73329,39.5,20134,379702,11912,7120,1994,12846,7824,81317,135715,113900,11397777,20089026,13420,5219,13719,4454,35273,9669,55219,1777.6,21704,3063,10441,4942,33117,2019,161,118,168,35273,2916,6205,0,4244,1578,148,0,0,5045,0,4433,0,1379,0,0,0,5280,0,0,0,47,0,0,0,0,0,179,0,0,0,0,0,0,1092,800,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",0,0,0,1,0,0,0,2,0,0,0,0,0,758783,0,0,0,1339123,0,0,3,2097906,0,13,33,0,,1126.9929533010734,1012.4406575820481,,,1269.5833333333333,1070.741935483871,,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1,2,4,1,4,4,1,2,1,196630,611689,2854329,313067,2912983,7668377,403453,1098862,395458,1,1,3,60.0,77508,1995.4,79284,145665,64080,37.5,36398,297640,18861,14989,1982,18753,12826,157431,286739,162894,18353875,31960432,21907,9198,20872,7335,60787,16857,91142,2346.4,34678,6195,19327,14756,51155,4759,105,54,113,60787,1352,715,0,6094,10017,1071,0,0,0,0,1086,0,109,0,0,1986,7810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453,4147,0,0,1999,0,673,3260,0,0,278,0,0,0,0,0,0,0,15305,677,0,0,75,0,0,0,0,0,682,0,0,0,0,0,0
3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",1,0,2,1,0,1,0,1,0,1,461164,0,215765,796937,0,332089,0,811224,0,394169,7,3011348,0,2,37,29,,1117.2943599493028,1070.4161308608711,789.74354209512,,1455.0,1217.0689655172414,721.5454545454545,18.0,12.0,0.0,3.0,1.0,0.0,0.0,0,0,2,1,1,2,0,1,0,,,1590794,383410,936829,4689729,,585935,,0,0,4,47.0,105245,1840.0,41635,17861,35310,28.9,51560,188499,18604,25618,1985,12185,9313,98453,135346,226620,14629290,25733731,30402,13415,27025,9600,87967,28635,138987,2429.9,26660,8821,51569,44941,48648,6905,183,144,189,87967,1110,0,0,0,882,0,0,0,0,0,0,0,581,0,940,2705,2141,0,2275,922,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,3925,0,2045,9057,0,0,2978,0,0,0,1823,454,0,0,971,726,0,2085,3788,1306,2730,695,0,1113,10078,0,0,0,0,0,0,12004,19555,0
4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",0,0,2,2,0,0,0,1,0,1,0,0,245752,1843053,0,0,0,1034174,0,416448,6,3539427,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,2,1,1,2,0,1,0,288849,292021,1819663,436236,569065,4386442,,710596,,0,0,3,83.0,59169,1223.3,53387,76293,44176,39.7,27902,194603,14681,10373,1979,7208,4283,70227,147882,248051,8810612,16398648,16818,7004,13670,5386,45847,14779,72581,1500.6,22363,6680,15340,19193,34088,2738,163,186,159,45847,0,0,0,1811,0,0,0,0,0,0,0,0,1432,0,6732,2142,3764,0,2522,4674,733,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,0,0,3425,3789,0,0,0,0,0,1015,1962,0,0,1079,0,0,636,0,0,699,250,2006,3415,2220,0,0,0,0,0,0,0,0,0
5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",0,0,1,1,0,1,0,2,1,0,0,0,75285,1050115,0,670136,0,1299298,397870,0,6,3492704,0,0,10,33,,,1141.1811633959699,796.1639387244353,,,1202.625,792.2592592592592,0.0,9.0,0.0,4.0,0.0,0.0,0.0,1,1,3,2,2,4,0,1,1,205209,456335,3027232,683429,1279676,9065206,,365909,418587,1,1,4,152.0,85654,1909.5,45703,34120,38187,37.2,41775,167207,17760,17863,1967,11549,6799,91862,171830,406361,11108858,20546350,23424,9566,19729,7530,66301,21163,118362,2638.7,26944,9381,28274,45395,33352,2810,243,284,236,66301,785,0,0,0,1705,578,0,0,0,0,0,0,0,981,1006,2792,4776,0,1917,5215,0,0,0,0,0,2110,0,0,0,0,0,0,0,3175,0,0,64,6589,1703,0,0,0,0,2348,594,65,0,0,0,0,0,3084,1990,164,2454,3903,5689,1264,11348,0,0,0,0,0,0,0,0,0
6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",1,0,0,0,0,0,0,0,0,1,292778,0,0,0,0,0,0,0,0,469357,2,762135,0,1,3,3,,1091.3297872340424,940.2146487387951,940.3193277310925,,1331.0,996.0,648.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,1,2,2,2,4,0,1,1,152953,271885,1192640,510599,1478677,7734283,,531727,330430,0,0,4,96.0,19804,960.5,78524,214924,62399,41.7,7940,231297,5622,1879,1986,3579,2069,19044,113478,115857,3193281,5911727,5824,2437,5196,1643,15571,4440,26936,1306.4,9241,2244,3652,5665,12381,734,184,210,179,15571,0,0,0,2113,1424,0,0,0,0,0,0,0,2888,179,78,1898,593,1085,0,901,1309,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,99,0,0,5,0,0,0,0,0,0,0,0,17,0,0,1460,0,0,0,1237,86,0,0,0,0,0,0,0,0,0,0,0
7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",1,1,0,1,0,0,0,2,0,0,139930,1178949,0,620564,0,0,0,1062202,0,0,5,3001645,0,9,23,12,,989.2429105526413,948.4859054517553,826.1174146841232,,1449.5555555555557,1125.6,758.7,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0,2,3,2,3,5,0,2,2,,643560,2213792,687039,2050580,7736572,,1005811,845513,0,0,6,146.0,88605,1361.0,54703,49292,45963,35.2,43472,193127,18004,20999,1984,16189,9876,81251,183661,188197,14917048,26400620,26003,10719,22714,8311,70875,21787,108189,1661.8,30813,8508,31128,34554,40196,7485,228,250,224,70875,0,3311,0,8164,1201,0,0,0,0,0,4375,0,1482,0,5422,0,2899,0,1694,857,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2884,0,160,6980,752,0,76,0,0,0,1146,0,0,0,0,0,0,8157,1139,6876,1828,7232,708,554,734,0,0,0,0,614,7,1611,0,0
1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",1,0,0,1,0,0,0,1,0,0,242998,0,0,908940,0,0,0,680293,0,0,3,1832231,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,2,1,1,3,0,0,0,,295230,1784543,295944,537133,6527483,,,,0,0,3,82.0,38342,735.9,42927,48337,36448,41.4,18952,181307,8907,7967,1974,4417,2747,34372,39819,88019,4789149,8796055,11301,5064,9806,3530,31731,9910,51236,983.3,14968,4641,10768,6359,27869,2019,154,106,162,31731,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,118,2950,0,0,0,6384,0,915,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,2571,3146,2530,0,0,0,860,862,0,386,0,0,0,0,0,0,780,749,0,0,1999,180,0,0,0,0,0,0,4199,0,0
2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",0,0,2,2,0,0,0,1,0,1,0,0,245752,1843053,0,0,0,1034174,0,416448,6,3539427,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,2,1,1,2,1,0,0,288849,292021,1819663,436236,569065,4386442,368202,,,0,0,3,83.0,43277,1082.1,48809,57068,39969,39.9,20930,186149,10458,8138,1975,5032,2987,68297,158841,202917,6156469,11456554,12290,5028,9849,3965,33712,11059,58142,1453.8,15729,5052,11758,16743,22437,1887,179,218,172,33712,0,0,0,1811,0,0,0,0,0,0,0,0,858,0,4083,2593,1035,0,1593,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,0,0,2562,1334,0,0,0,0,0,1015,20,0,0,1951,0,0,636,0,0,819,479,2025,3038,3762,0,0,0,0,0,0,0,0,0
3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",0,0,0,1,0,0,0,2,0,0,0,0,0,758783,0,0,0,1339123,0,0,3,2097906,0,13,33,0,,1126.9929533010734,1012.4406575820481,,,1269.5833333333333,1070.741935483871,,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1,2,4,1,4,4,2,1,1,196630,611689,2854329,313067,2912983,7668377,800150,422139,395458,1,1,3,60.0,77508,1995.4,79284,145665,64080,37.5,36398,297640,18861,14989,1982,18753,12826,157431,286739,162894,18353875,31960432,21907,9198,20872,7335,60787,16857,91142,2346.4,34678,6195,19327,14756,51155,4759,105,54,113,60787,1352,715,0,6094,10017,1071,0,0,0,0,1086,0,109,0,0,1986,7810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453,4147,0,0,1999,0,673,3260,0,0,278,0,0,0,0,0,0,0,15305,677,0,0,75,0,0,0,0,0,682,0,0,0,0,0,0
