,Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
0,1,HomeGoods,1091,544090,36.33870566,-82.37720278,206625093,Johnson City,Washington County,Tennessee,37605,47179060401,60401,47,179,2090,76698
1,2,HomeGoods,359,501003,35.92631903,-84.04940438,148273201,Knoxville,Knox County,Tennessee,37923,47093004403,4403,47,93,5261,96941
2,3,HomeGoods,1007,357527,35.85473329,-86.42753616,87625392,Murfreesboro,Rutherford County,Tennessee,37128,47149040901,40901,47,149,4140,62450
3,4,HomeGoods,361,344169,36.33443225,-86.62290839,247753566,Hendersonville,Sumner County,Tennessee,37116,47165021002,21002,47,165,7348,93472
4,5,HomeGoods,1029,340950,36.15757025,-85.51927464,217586414,Cookeville,Putnam County,Tennessee,38503,47141000700,700,47,141,3385,47600
5,6,HomeGoods,1078,321679,35.88302644,-83.57591044,338420733,Sevierville,Sevier County,Tennessee,37764,47155080601,80601,47,155,4480,52750
6,7,HomeGoods,1064,320892,35.73977486,-86.9396596,237388969,Spring Hill,Maury County,Tennessee,37174,47119010203,10203,47,119,3446,89476
7,8,HomeGoods,195,315205,35.03565483,-85.15422286,254113377,Chattanooga,Hamilton County,Tennessee,37421,47065011446,11446,47,65,4863,73104
8,9,HomeGoods,554,310435,35.16931871,-89.7949902,303685614,Memphis,Shelby County,Tennessee,38016,47157021126,21126,47,157,4578,75893
9,10,HomeGoods,408,266647,36.08116861,-86.94533,82063453,Nashville-Davidson,Davidson County,Tennessee,37221,47037018412,18412,47,37,4044,94813
10,11,HomeGoods,839,256948,35.7510673,-83.99065566,330865327,Maryville,Blount County,Tennessee,37801,47009010500,10500,47,9,2740,44472
11,12,HomeGoods,1093,248757,36.01126971,-84.25341437,315680028,Oak Ridge,Anderson County,Tennessee,37830,47001020100,20100,47,1,3199,53080
12,13,HomeGoods,580,240601,35.04903869,-89.73581482,,,,Tennessee,,47157021355,21355,47,157,5376,135444
13,14,HomeGoods,1074,226016,35.20786186,-84.84919388,228563417,Cleveland,Bradley County,Tennessee,37312,47011010100,10100,47,11,5475,63947
14,1,HomeGoods,185,569734,26.36580292,-80.17252744,120717778,Boca Raton,Palm Beach County,Florida,33434,12099007741,7741,12,99,4371,51961
15,2,HomeGoods,655,522058,28.23777963,-80.72697222,76914213,Viera,Brevard County,Florida,32940,12009071201,71201,12,9,7360,61221
16,3,HomeGoods,363,489856,27.79487277,-82.72993464,308814291,Saint Petersburg,Pinellas County,Florida,33710,12103022502,22502,12,103,3531,76739
17,4,HomeGoods,136,485955,26.19937225,-81.80254251,82164866,Naples,Collier County,Florida,34103,12021000301,301,12,21,3567,174231
18,5,HomeGoods,322,477152,28.01412693,-82.73205985,161690945,Clearwater,Pinellas County,Florida,33736,12103026812,26812,12,103,5044,69500
19,6,HomeGoods,189,463562,30.19231757,-81.54927783,61696247,Jacksonville,Duval County,Florida,32256,12031014413,14413,12,31,5895,97969
20,7,HomeGoods,171,461838,29.14093156,-82.1923159,44289517,Ocala,Marion County,Florida,34476,12083002505,2505,12,83,6019,70783
21,8,HomeGoods,367,455531,26.43845946,-80.0875143,79807376,Delray Beach,Palm Beach County,Florida,33444,12099006906,6906,12,99,5626,90137
