OBJECTID,Name and Size,Total_Visits,Travel Time Start (Minutes),,Travel Time End (Minutes),Facility ID,Facility: Name,Facility: Rank,Facility: Store_ID,Facility: lat,Facility: lng,Facility: State,Facility: Plotted,Facility: Percentile,Facility: State_Rank,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Area (Square Miles),Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index
261,T.J. Maxx  : 0 - 10,398704,0,,10,261,T.J. Maxx ,48,1415,24.56895824,-81.76467933,FL,88,45%,48/88,,0,0,8.19825492,29,US,261,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31335,3822.2,73760,90832,62868,43.2,16074,629755,5410,7855,1971,5075,3587,26048,14897,61080,6431539,11210494,9340,4022,9668,3198,26309,7846,32408,3953.1,12957,4028,8571,3607,20109,8034,79,36,86
11,Marshalls  : 0 - 10,414816,0,,10,11,Marshalls ,32,816,25.48042614,-80.46169303,FL,87,63%,32/87,,0,0,42.33812589,10,US,11,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,166347,3929,52973,46033,45773,31.7,53945,288188,24149,26780,1997,14871,6345,41362,43397,139677,17061358,29541853,44858,17549,34527,10799,118258,40690,133461,3152.3,55450,13173,51280,31157,44951,115431,162,263,145
47,T.J. Maxx  : 0 - 10,487096,0,,10,47,T.J. Maxx ,19,1531,25.48055461,-80.44006876,FL,88,78%,19/88,,0,0,30.09492652,13,US,47,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,144067,4787.1,53430,49183,46364,31.7,46218,288343,20885,23236,1997,13557,5830,41514,41432,111749,14858454,25637702,39107,15151,29825,9299,102317,35281,117241,3895.7,48565,11278,44060,26173,38430,101535,158,253,142
157,Marshalls  : 0 - 10,335509,0,,10,157,Marshalls ,55,145,25.62066372,-80.34234868,FL,87,37%,55/87,,0,0,30.46475434,24,US,157,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,125549,4121.1,79104,205193,65605,41.2,44171,384210,28803,13439,1976,20397,12126,171127,145165,290958,22124864,39668097,36340,14812,32040,8448,99439,29374,114999,3774.8,50760,11613,35931,20240,40177,75553,115,119,115
101,HomeGoods  : 0 - 10,111883,0,,10,101,HomeGoods ,52,482,25.64231842,-80.33253931,FL,52,0%,52/52,,0,0,28.25828737,1,US,101,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,94810,3355.1,102484,360364,85979,42.9,34694,515698,23572,9105,1975,18763,14966,279276,192071,189456,22761237,40994109,27807,11253,26866,7298,75289,20263,99685,3527.7,41661,7862,25556,12058,35070,53366,99,97,99
276,T.J. Maxx  : 0 - 10,337427,0,,10,276,T.J. Maxx ,63,291,25.64533932,-80.33584156,FL,88,28%,63/88,,0,0,38.58990518,11,US,276,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,143608,3721.4,90417,254880,76162,42.7,55243,471885,34821,17346,1975,27964,21484,320131,240583,291512,32751901,58814435,42491,17097,40290,11417,114986,31595,158313,4102.5,61807,12757,39103,16975,50469,86781,100,100,100
238,T.J. Maxx  : 0 - 10,1134979,0,,10,238,T.J. Maxx ,1,1101,25.65297847,-80.41389258,FL,88,99%,Jan-88,,0,0,34.81798649,6,US,238,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,206380,5927.4,77599,151371,64216,38.8,72097,347217,44443,25468,1989,35292,17274,71700,170155,387504,30730780,54289583,61611,24766,53283,14190,164967,49974,174118,5000.8,87203,19574,56519,9734,55222,168267,68,55,70
138,Marshalls  : 0 - 10,483807,0,,10,138,Marshalls ,16,372,25.6861927,-80.42254009,FL,87,82%,16/87,,0,0,28.72627201,5,US,138,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,207689,7230,75603,135709,61751,39.8,73730,342751,43635,27531,1986,37954,16703,84173,175444,314977,30676552,54078436,62607,25020,53554,14054,168338,51091,179305,6241.9,87507,19532,57097,4946,54340,177421,63,53,65
22,T.J. Maxx  : 0 - 10,596128,0,,10,22,T.J. Maxx ,11,424,25.74593131,-80.33410972,FL,88,88%,Nov-88,,0,0,37.54883731,21,US,22,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,237182,6316.7,64661,111178,55219,43.8,88196,366109,47209,36844,1974,39829,20681,317523,372208,492492,35052221,61023835,75195,29309,60174,14854,197213,63354,257401,6855.1,93279,28508,67269,3636,62029,208404,101,82,105
129,Marshalls  : 0 - 10,562742,0,,10,129,Marshalls ,7,320,25.74786693,-80.38838071,FL,87,92%,Jul-87,,0,0,33.25436476,29,US,129,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,233195,7012.5,67154,158161,56863,43.4,76955,354307,50630,24381,1981,37050,16093,54353,71052,179866,29956648,52414409,72922,29058,59122,13081,193742,61346,187508,5638.6,93805,26161,65727,2821,57501,212416,90,65,94
