,STATEFP,COUNTYFP,NAME,TRACTCE,Tract_Population
0,12,071,802.03,080203,1660
1,12,071,401.10,040110,3372
2,12,071,401.24,040124,7010
3,12,011,603.03,060303,6366
4,12,086,136,013600,6066
5,12,086,137,013700,6177
6,12,086,9801,980100,0
7,12,011,1105.01,110501,3952
8,12,069,303.07,030307,4664
9,12,069,309.14,030914,5462
10,12,069,308.05,030805,4567
11,12,086,10.04,001004,6545
12,12,086,10.05,001005,1980
13,12,099,76.10,007610,4197
14,12,099,76.12,007612,5842
15,12,119,9112.02,911202,4734
16,12,086,10.06,001006,5017
17,12,086,11.01,001101,5951
18,12,086,11.02,001102,5164
19,12,086,11.03,001103,4402
20,12,086,11.04,001104,4462
21,12,099,76.14,007614,4144
22,12,099,76.15,007615,3453
23,12,099,76.16,007616,3044
24,12,099,77.05,007705,4492
25,12,099,77.16,007716,4957
26,12,117,218.05,021805,1674
27,12,117,222.09,022209,3875
28,12,071,403.11,040311,4399
29,12,071,402.05,040205,6318
30,12,071,403.12,040312,1734
31,12,071,401.08,040108,4846
32,12,109,214.08,021408,6142
33,12,109,206.03,020603,1601
34,12,109,208.08,020808,11822
35,12,109,206.06,020606,10684
36,12,109,209.03,020903,4275
37,12,109,212.07,021207,2546
38,12,109,209.06,020906,8576
39,12,109,209.04,020904,7320
40,12,109,212.08,021208,5599
41,12,109,208.10,020810,6346
42,12,109,208.11,020811,3289
43,12,109,206.04,020604,2644
44,12,109,208.09,020809,9622
45,12,109,212.09,021209,2761
46,12,109,209.05,020905,10228
47,12,109,206.05,020605,12849
48,12,061,506.02,050602,5388
49,12,011,407.01,040701,2650
50,12,011,101.03,010103,3325
51,12,003,401.02,040102,6779
52,12,003,402.02,040202,6260
53,12,003,402.01,040201,8369
54,12,003,401.01,040101,7271
55,12,011,203.25,020325,3504
56,12,011,1103.38,110338,3709
57,12,011,502.06,050206,5101
58,12,011,105.03,010503,21117
59,12,011,309.04,030904,3950
60,12,011,503.11,050311,3539
61,12,011,202.12,020212,4317
62,12,037,9901,990100,0
63,12,011,302.01,030201,3767
64,12,011,302.03,030203,4739
65,12,011,302.02,030202,1509
66,12,069,304.11,030411,6386
67,12,099,77.68,007768,1582
68,12,099,77.78,007778,7816
69,12,099,77.46,007746,1410
70,12,099,77.47,007747,2792
71,12,099,77.79,007779,4169
72,12,099,77.77,007777,4581
73,12,099,77.73,007773,6415
74,12,099,77.72,007772,6365
75,12,099,78.52,007852,0
76,12,099,77.71,007771,3909
77,12,099,78.50,007850,878
78,12,099,78.51,007851,3521
79,12,099,78.53,007853,2038
80,12,069,313.18,031318,5431
81,12,069,304.08,030408,3369
82,12,069,313.23,031323,5407
83,12,069,312.07,031207,11795
84,12,069,312.08,031208,2884
85,12,069,313.12,031312,5985
86,12,069,310.01,031001,2265
87,12,069,313.24,031324,4727
88,12,069,311.08,031108,2690
89,12,069,301.10,030110,4332
90,12,069,311.06,031106,2353
91,12,069,309.15,030915,8896
92,12,069,313.16,031316,10414
93,12,069,313.21,031321,4343
94,12,069,302.10,030210,1466
95,12,069,309.17,030917,8593
96,12,069,313.20,031320,6020
97,12,069,313.19,031319,3669
98,12,069,310.02,031002,5661
99,12,069,313.14,031314,8671
100,12,069,313.17,031317,4305
101,12,069,312.06,031206,3037
102,12,069,309.18,030918,1745
103,12,069,309.16,030916,5773
104,12,069,304.09,030409,5575
105,12,085,9901,990100,0
106,12,111,3820.10,382010,1942
107,12,111,3816.02,381602,4102
108,12,111,3810,381000,1256
109,12,111,3812.04,381204,3935
110,12,111,3813,381300,3805
111,12,086,14.01,001401,6606
112,12,086,14.02,001402,5956
113,12,086,15.01,001501,3420
114,12,086,15.02,001502,4242
115,12,099,77.23,007723,2364
116,12,099,77.24,007724,7038
117,12,099,77.25,007725,6654
118,12,099,77.30,007730,6128
119,12,099,77.32,007732,7099
120,12,099,77.35,007735,6813
121,12,117,217.08,021708,5991
122,12,031,161.01,016101,3866
123,12,031,166.06,016606,4329
124,12,031,157.02,015702,3262
125,12,031,160.02,016002,3486
126,12,031,142.05,014205,2606
127,12,031,168.11,016811,5763
128,12,031,159.27,015927,2576
129,12,031,144.22,014422,2819
130,12,031,141.04,014104,1819
131,12,031,161.02,016102,4260
132,12,031,160.01,016001,4628
133,12,031,144.21,014421,5348
134,12,031,122.01,012201,3135
135,12,031,142.06,014206,1733
136,12,031,141.03,014103,2433
137,12,031,144.28,014428,6198
138,12,031,144.23,014423,17297
139,12,031,135.25,013525,5618
140,12,031,143.42,014342,4927
141,12,031,159.29,015929,4182
142,12,031,144.26,014426,4330
143,12,031,144.20,014420,4276
144,12,031,168.12,016812,4251
145,12,031,144.19,014419,5393
146,12,031,101.06,010106,5652
147,12,031,168.13,016813,6772
148,12,031,122.02,012202,4806
149,12,031,144.16,014416,5555
150,12,031,137.32,013732,5836
151,12,031,101.04,010104,5067
152,12,031,137.28,013728,6158
153,12,031,135.23,013523,4436
154,12,031,102.03,010203,7087
155,12,031,147.04,014704,5834
156,12,031,106.01,010601,4151
157,12,031,143.40,014340,5553
158,12,031,106.02,010602,2568
159,12,031,144.24,014424,6966
160,12,031,14.01,001401,2847
161,12,031,144.14,014414,5963
162,12,031,158.06,015806,2726
163,12,031,166.05,016605,1985
164,12,031,143.44,014344,4486
165,12,031,144.27,014427,2108
166,12,031,144.15,014415,4578
167,12,031,158.04,015804,3388
168,12,031,103.05,010305,7448
169,12,031,144.17,014417,6479
170,12,031,144.25,014425,3590
171,12,031,101.05,010105,2043
172,12,031,143.43,014343,7362
173,12,031,137.30,013730,3960
174,12,031,101.07,010107,4377
175,12,031,135.24,013524,4038
176,12,031,105.03,010503,8465
177,12,086,17.02,001702,3896
178,12,117,208.11,020811,6952
179,12,117,217.07,021707,6671
180,12,117,218.06,021806,5575
181,12,071,502.07,050207,2498
182,12,071,503.11,050311,8026
183,12,071,501.03,050103,977
184,12,031,137.29,013729,4575
185,12,031,135.26,013526,7516
186,12,031,143.39,014339,3481
187,12,031,143.41,014341,2872
188,12,031,119.05,011905,6336
189,12,031,137.31,013731,3705
190,12,031,171.01,017101,4105
191,12,031,103.07,010307,2268
