Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Publix,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,num_stores_Sprouts_Farmers_Market,total_visit_Aldi,total_visit_Publix,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,total_visit_Sprouts_Farmers_Market,num_grocery_stores,total_grocery_visit,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks,num_malls,tot_stores,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base_x,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,2022 Tapestry Adult Pop Base_y,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
1,HomeGoods,FL,26.36580292,-80.17252744,569734,"26.36580292,-80.17252744",1,5,1,0,0,0,0,1,1,0,340853,4596941,321886,0,0,0,0,466128,100377,0,9,5826185,8,28,0,0,1307.9012488910842,961.3209237716379,,,2884.5714285714284,2309.6363636363635,,,0.0,3.0,0.0,2.0,0.0,2.0,1.0,33.0,2.0,1.0,0.0,2,2,3,8,6,8,3,4,5,845900,908392,2285727,2758116,6029389,14260500,1048618,1627828,1721296,1,1,7,203.0,173655,3626.8,82821,297622,69047,50.9,81093,366798,53447,18700,1985,40281,25344,274658,212634,202966,41043756,72099423,54329,22625,49054,15828,146453,41079,165415,3454.7,77986,18110,41779,10397,113520,34929,45,28,49,146453,11611,4200,0,7260,4442,0,523,0,884,0,0,0,8601,18892,2365,0,8827,1336,0,0,739,0,0,0,0,0,0,0,1742,0,0,0,2633,2567,3066,0,0,2486,0,1677,19559,19982,1374,7007,0,0,0,0,3301,0,0,2971,4765,3591,0,0,0,0,0,0,0,0,0,0,0,0,51,2
2,HomeGoods,FL,28.23777963,-80.72697222,522058,"28.23777963,-80.72697222",0,2,0,1,0,0,0,0,1,0,0,1883968,0,289296,0,0,0,0,48284,0,4,2221548,3,3,5,0,1104.454152632876,1073.0729064039408,1009.7957577264065,,2027.6666666666667,1846.0,1673.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0,1,1,2,2,3,0,2,0,,434068,824054,600443,1769985,5593682,,786711,,2,1,2,30.0,46957,1812.1,86039,355920,72169,50.5,21503,329833,16086,3424,2001,10159,7256,27080,36369,14898,9832572,18587557,14637,6412,12816,4380,38562,10457,50008,1929.8,23301,5082,8210,2279,35621,5230,84,67,87,38562,0,0,0,4094,2489,0,0,0,0,0,0,0,0,0,974,17424,0,0,372,6402,3287,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,1557,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HomeGoods,FL,27.79487277,-82.72993464,489856,"27.79487277,-82.72993464",1,5,0,1,0,1,0,3,2,0,237809,4268748,0,372268,0,495820,0,808450,87545,0,13,6270640,0,5,14,15,,696.14882518797,867.6858038787535,738.3440437757378,,1581.3333333333333,1573.142857142857,1199.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,29.0,1.0,3.0,1.0,2,1,3,3,5,6,2,4,3,536999,464864,2113924,789809,4739247,11657791,593384,1648909,595359,2,1,2,36.0,165744,4221.5,60590,159279,52397,48.3,84235,244182,53911,21187,1966,25498,11479,119688,177157,573706,27651006,51551104,49815,21597,42943,15705,138469,42851,152756,3890.7,62042,23469,45592,16550,116943,18800,123,103,126,138469,0,0,0,0,2879,0,0,0,1549,0,0,0,0,211,0,2662,1664,4700,40405,9892,0,0,10,0,0,4304,0,0,664,0,0,0,0,3373,0,0,7392,2609,2226,1529,2288,6035,13500,3211,1578,0,0,0,39,0,0,0,0,2019,103,2514,13609,4553,2951,0,0,0,0,0,0,0,0,0
4,HomeGoods,FL,26.19937225,-81.80254251,485955,"26.19937225,-81.80254251",1,3,1,1,0,1,0,0,0,0,273493,2426234,203764,257345,0,797549,0,0,0,0,7,3958385,0,9,6,1,,944.9222312504811,830.2431277834876,832.1789473684211,,1965.3333333333333,1716.0,1333.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0,2.0,0.0,1,1,1,2,3,4,1,1,2,250447,383506,867257,546723,3055081,6435766,202822,474058,780216,0,0,4,91.0,54763,1730.6,101993,472940,84940,61.5,42205,597284,19394,7592,1987,14140,10901,264141,350591,294127,19789628,34411291,17399,7278,16124,5777,48670,13448,116331,3676.1,28928,6041,9645,1141,45580,7135,85,51,91,48670,861,0,0,0,1505,0,0,0,0,0,0,0,0,0,40,0,0,2138,0,2719,68,0,44,0,0,0,0,0,0,0,0,0,0,0,3206,0,2412,2320,0,15726,3806,8257,324,3723,0,0,0,0,0,0,0,0,735,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HomeGoods,FL,28.01412693,-82.73205985,477152,"28.01412693,-82.73205985",1,5,1,1,0,1,1,1,0,1,338981,5249022,314702,240257,0,613942,1112705,106745,0,264749,12,8241103,3,13,15,11,903.179595959596,984.5554021676812,908.5243180553013,781.724377642693,1759.3333333333333,1770.3846153846155,1511.076923076923,1163.4285714285713,0.0,5.0,0.0,3.0,0.0,0.0,1.0,39.0,2.0,1.0,0.0,3,1,5,7,4,6,0,3,3,748304,627180,3321979,1970812,3754386,10142566,,1351665,847057,2,1,4,95.0,173238,3778.8,62278,178472,53404,51.6,90332,263290,54798,25573,1980,30895,15990,123538,226627,397827,32963898,59425747,53236,23269,46587,17301,147778,43061,173634,3787.5,72659,23241,41880,8487,133107,23412,76,56,79,147778,0,0,0,4926,5314,1649,0,0,1263,0,0,0,0,2071,0,8335,4355,7977,7370,12753,2122,0,2696,0,0,0,528,0,1195,0,0,0,0,2403,3537,0,7022,7511,195,104,8294,13901,13459,16282,0,0,0,0,0,0,0,1869,5387,3539,0,421,0,1299,0,0,0,0,0,0,0,0,0,0
6,HomeGoods,FL,30.19231757,-81.54927783,463562,"30.19231757,-81.54927783",1,2,0,0,0,1,0,1,0,0,146288,1391024,0,0,0,411633,0,414536,0,0,5,2363481,9,32,6,0,1031.4882219615376,991.2134359884652,783.8616184400395,,1651.0,1502.8214285714287,1108.5,,0.0,4.0,0.0,0.0,0.0,1.0,1.0,44.0,1.0,1.0,1.0,3,2,3,5,4,7,1,3,1,802683,833075,2102125,1529876,3492378,12106231,255909,1065385,341760,1,1,1,7.0,29727,1684.4,64869,53971,56150,34.9,14730,334861,4958,8658,1990,6587,3921,82007,159441,166158,6442958,10960667,8506,3483,7981,2864,23797,7099,50923,2885.4,11014,3452,9438,5482,15555,4551,125,85,132,23797,0,0,0,2688,571,0,0,0,3344,0,1581,0,576,736,0,0,0,0,0,826,0,0,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,10631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,HomeGoods,FL,29.14093156,-82.1923159,461838,"29.14093156,-82.1923159",1,2,0,0,0,0,0,0,1,0,217756,1983551,0,0,0,0,0,0,122214,0,4,2323521,1,5,9,4,1223.3684210526317,1106.187623794995,906.7782101437052,1439.0622406639004,1962.0,1585.6,1335.0,1532.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,13.0,1.0,4.0,1.0,1,1,3,2,1,3,0,1,1,333372,420439,2491908,605204,992389,6834129,,486906,394080,1,1,3,59.0,35875,991.7,51689,67260,43710,43.2,16205,220579,7388,7115,1993,4617,2704,65692,127228,252283,4961981,8880369,10635,4607,8358,3006,29254,9047,64971,1796.1,12673,4409,9993,6174,20226,7857,173,150,177,29254,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,4345,1556,0,0,0,0,0,0,645,0,0,0,0,0,0,397,0,0,0,0,0,0,0,2745,2074,0,0,2618,2553,3399,0,0,0,0,4,0,0,0,0,4127,1194,0,0,188,364,0,0,1864,0,0,0,0,0,0
8,HomeGoods,FL,26.43845946,-80.0875143,455531,"26.43845946,-80.0875143",1,4,1,0,1,1,1,1,1,0,206950,2762926,236735,0,672562,431792,815893,330111,24617,0,11,5481586,19,24,9,3,1122.870558555462,1017.4997926060067,839.4400033159961,834.0,3013.4375,2565.0833333333335,,1361.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,35.0,6.0,11.0,4.0,2,1,2,5,5,5,1,4,4,644635,534774,1354051,1558211,4980199,7864832,569734,1613759,1456559,1,1,3,40.0,147987,3573.7,69792,195560,58453,54.1,84031,339163,45076,23597,1981,30800,19582,165956,340016,404166,35268835,61091538,46317,19974,40175,14511,129228,36999,215621,5207.0,57213,18671,43699,27283,95172,20518,120,103,123,129228,378,0,0,297,8146,4310,970,0,0,175,1169,0,0,4826,0,456,5310,1114,21,980,0,0,0,0,0,0,0,0,6989,0,0,0,0,5285,3861,0,3057,6286,0,10731,6330,27290,0,12460,0,0,0,0,0,0,0,2268,0,2612,1583,3715,0,1651,2714,0,0,0,0,0,0,0,4244,0
9,HomeGoods,FL,26.00951958,-80.29762476,453034,"26.00951958,-80.29762476",1,9,1,0,1,0,0,0,1,1,180401,7842293,397661,0,920914,0,0,0,118505,263098,14,9722872,16,19,17,0,1151.1626092477188,972.4245891713107,824.2867408090765,,2701.125,2327.909090909091,1755.625,,0.0,9.0,0.0,7.0,0.0,0.0,4.0,42.0,1.0,6.0,3.0,9,3,4,17,11,11,3,7,5,4012614,1273048,2695278,6151846,12515400,22766210,1032475,3293630,1777375,2,1,10,338.0,196576,5216.7,72385,144960,59657,39.9,76864,325676,46581,26248,1990,28382,17206,249330,148413,211379,32103441,56090771,59411,24207,49747,15386,157012,47732,167514,4445.5,74123,18850,61688,49277,58634,91447,74,54,77,157012,0,6087,5218,13602,0,0,4344,0,0,0,0,0,7729,22326,0,0,0,0,0,0,0,0,0,0,0,0,17224,4848,25512,0,0,2358,0,0,15271,0,0,0,0,0,0,12722,1754,6979,2026,0,0,0,0,0,1523,1706,5421,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0
10,HomeGoods,FL,26.61141935,-81.93928049,445372,"26.61141935,-81.93928049",1,2,0,0,0,0,0,0,1,0,244614,1959451,0,0,0,0,0,0,98804,0,4,2302869,0,1,5,0,,994.9953917050691,589.0,,,1453.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2,2,4,3,4,5,1,3,1,725143,1050241,3031260,1091087,4470097,9493122,339711,1044030,393505,1,1,2,38.0,124459,2851.3,63855,177836,54433,47.3,60531,274054,36937,15047,1987,16057,7508,79471,165148,278098,19854455,36875296,36813,16130,31995,11306,103185,31161,125349,2871.7,52233,16308,29371,7890,85130,30437,61,47,64,103185,0,0,0,0,856,0,0,0,0,0,0,0,0,0,8351,3984,1245,0,15689,16358,397,4681,10180,0,0,5653,449,0,4962,0,0,0,0,96,0,0,0,4337,175,5116,247,1065,3811,2994,0,0,0,0,0,0,0,3217,4633,1491,1444,0,89,1595,0,0,0,70,0,0,0,0,0,0
