,PROPERTY_ID,PROPERTY_NAME,PROPERTY_ADDRESS,PROPERTY_CITY,COUNTY_NAME,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,Impr_Rating,Loc_Rating,Property_Overall_Rating,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Fractured_Condo,Adaptive_Reuse,Single_Family_Rental,Mixed_Use,sqft_mixed_use
0,15_1002,South Wind,149 East 3rd Street,Hialeah,Miami-Dade,FL,33010,25.8248691,-80.2779955,68,56648,B,C,Completed,N,A,N,N,,,,,,FALSE,,Low Mid-Range,Workforce,,0,1,0,0,,,,0,0
1,15_1028,Blackstone,3699 West 12th Avenue,Hialeah,Miami-Dade,FL,33012,25.8548891,-80.3054912,76,39500,C,C,Completed,N,N,N,N,,,,97.4,1135,FALSE,,Workforce,Workforce,,0,0,0,0,,,,0,0
2,15_1059,North Shore,2102 NE 167th Street,North Miami Beach,Miami-Dade,FL,33162,25.929212,-80.157516,64,43716,C,C+,Completed,N,A,N,N,,FALSE,,,,FALSE,,Workforce,Workforce,,0,1,0,0,,0,,0,0
3,15_1097561,Eureka Point Gardens,SW 112th Avenue & SW 184th Street,Miami,Miami-Dade,FL,33157,25.59849999,-80.37112406,58,0,,B-,Prospective,N,,N,,,,,,,,,,Low Mid-Range,,0,,0,,,,,,0
4,15_1105,Postmaster,8800 SW 8th Street,Miami,Miami-Dade,FL,33174,25.76157,-80.3385869,55,33635,B-,B-,Completed,N,A,N,A,,,,,,FALSE,,Low Mid-Range,Low Mid-Range,,0,1,0,1,,,,0,0
5,15_1108713,Gould's Pointe,SW 218th Street & Goulds Avenue,Goulds,Miami-Dade,FL,33170,25.564011,-80.385752,68,0,,C-,Planned,N,A,N,N,,,,,,,,,Workforce,,0,1,0,0,,,,,0
6,15_1108726,Palmetto Bay,18300 SW 98th Avenue,Palmetto Bay,Miami-Dade,FL,33157,25.599338,-80.35041,58,0,,C+,Planned,,,N,,,,,,,,,,Workforce,,,,0,,,,,,0
7,15_1109,Riviera Plaza,337 20th Street,Miami Beach,Miami-Dade,FL,33139,25.7965176,-80.1307767,56,32000,C+,A,Completed,N,A,N,N,,TRUE,,,,FALSE,,Workforce,Discretionary,,0,1,0,0,,1,,0,0
8,15_1129621,"Island Gate Garden, The",11995 SW 219th Street,Miami,Miami-Dade,FL,33170,25.563779,-80.386328,60,0,,C,Prospective,,P,,,,,,,,,,,Workforce,,,1,,,,,,,0
9,15_1139945,1927 NW 105th Street,1927 NW 105th Street,Miami,Miami-Dade,FL,33147,25.870784,-80.2309,57,0,,C,Prospective,N,,N,,,,,,,,,,Workforce,,0,,0,,,,,,0
