OBJECTID,Name and Size,Total_Visits,Travel Time Start (Minutes),Travel Time End (Minutes),Facility ID,Facility: Name,Facility: Rank,Facility: Store_ID,Facility: lat,Facility: lng,Facility: State,Facility: Plotted,Facility: Percentile,Facility: State_Rank,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Area (Square Miles),Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2022 Tapestry Adult Pop Base,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
261,T.J. Maxx  : 0 - 10,398704,0,10,261,T.J. Maxx ,48,1415,24.56895824,-81.76467933,FL,88,45%,48/88,,0,0,8.19825492,29,US,261,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,26309,0,0,0,0,1490,0,0,0,0,0,0,1357,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2984,9874,2366,0,644,0,0,0,0,0,0,1183,0,0,0,0,1788,0,0,0,0,1375,0,0,0,0,0,1302,0,0,0,0,877,0,0,0
11,Marshalls  : 0 - 10,414816,0,10,11,Marshalls ,32,816,25.48042614,-80.46169303,FL,87,63%,32/87,,0,0,42.33812589,10,US,11,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,118258,0,0,0,3877,0,0,0,0,0,0,0,0,895,7280,3826,0,0,0,0,0,146,0,0,0,0,0,21426,3743,13559,6612,4716,2650,0,0,0,0,0,0,0,0,0,0,1735,0,0,421,0,0,0,0,0,0,7736,0,1512,0,0,0,3158,0,2394,11016,21555,0,0,0,0,0
47,T.J. Maxx  : 0 - 10,487096,0,10,47,T.J. Maxx ,19,1531,25.48055461,-80.44006876,FL,88,78%,19/88,,0,0,30.09492652,13,US,47,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,102317,0,0,0,1908,0,0,0,0,0,0,0,0,808,6229,3826,0,0,0,0,0,0,0,0,0,0,0,22463,2451,11946,6612,3534,2650,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,4948,0,1198,0,0,0,3158,0,2394,10473,16906,427,0,0,0,0
157,Marshalls  : 0 - 10,335509,0,10,157,Marshalls ,55,145,25.62066372,-80.34234868,FL,87,37%,55/87,,0,0,30.46475434,24,US,157,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,99439,12856,1624,581,8384,1258,871,3338,1122,0,0,0,0,1491,15729,0,0,932,0,0,0,0,0,0,0,0,0,1882,10499,10481,0,0,4305,2560,0,0,0,0,0,0,0,0,0,0,2492,3851,0,0,0,0,0,0,347,792,0,4533,7567,0,0,0,1374,0,0,412,157,0,0,0,0
101,HomeGoods  : 0 - 10,111883,0,10,101,HomeGoods ,52,482,25.64231842,-80.33253931,FL,52,0%,52/52,,0,0,28.25828737,1,US,101,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,75289,21182,1624,0,10752,1271,871,4449,1122,954,0,0,436,0,6622,0,0,0,0,0,0,0,0,0,0,0,0,0,3096,5455,0,0,0,3556,2663,0,0,0,948,0,0,293,0,0,0,3,0,0,0,0,0,0,0,1624,0,2424,4521,0,0,0,1422,0,0,0,0,0,0,0,0
276,T.J. Maxx  : 0 - 10,337427,0,10,276,T.J. Maxx ,63,291,25.64533932,-80.33584156,FL,88,28%,63/88,,0,0,38.58990518,11,US,276,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,114986,22809,1635,0,14066,3297,996,8525,1122,954,0,0,3251,0,11314,0,0,1266,0,0,0,0,0,0,0,0,0,109,4203,7722,0,0,1158,5027,3597,0,0,176,5004,0,0,1583,0,0,1792,22,0,0,0,0,0,0,347,1624,1138,3397,6480,0,0,0,2373,0,0,0,0,0,0,0,0
238,T.J. Maxx  : 0 - 10,1134979,0,10,238,T.J. Maxx ,1,1101,25.65297847,-80.41389258,FL,88,99%,Jan-88,,0,0,34.81798649,6,US,238,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,164967,91,1306,7944,7714,0,0,10911,58,0,0,0,0,20283,25552,0,0,779,0,0,0,24,0,0,0,0,0,9571,23553,30484,0,0,4856,0,0,2426,0,0,1674,0,0,0,0,0,971,0,0,0,0,0,0,0,5399,3091,1054,0,2511,0,0,0,3236,1478,0,0,0,0,0,0,0
138,Marshalls  : 0 - 10,483807,0,10,138,Marshalls ,16,372,25.6861927,-80.42254009,FL,87,82%,16/87,,0,0,28.72627201,5,US,138,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,168338,0,2041,2971,5685,0,0,7625,396,0,0,0,0,22326,25028,0,0,588,0,0,0,1192,0,0,0,0,0,2228,26427,35451,0,0,7924,663,0,2426,0,548,3247,0,0,0,0,0,3474,0,0,0,0,0,0,0,4522,3110,1054,0,0,0,0,0,7632,1778,0,0,0,0,0,0,0
22,T.J. Maxx  : 0 - 10,596128,0,10,22,T.J. Maxx ,11,424,25.74593131,-80.33410972,FL,88,88%,Nov-88,,0,0,37.54883731,21,US,22,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,197213,2463,0,730,674,4033,3042,14098,139,0,0,469,112,0,1577,0,2395,0,4824,0,3777,0,0,0,0,0,0,0,35999,15246,0,0,71647,3713,5244,2057,0,0,3673,0,0,6842,0,0,1347,0,0,0,0,0,0,0,2742,450,84,0,0,0,0,0,4514,0,2130,0,0,0,0,3189,0
129,Marshalls  : 0 - 10,562742,0,10,129,Marshalls ,7,320,25.74786693,-80.38838071,FL,87,92%,Jul-87,,0,0,33.25436476,29,US,129,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,193742,234,395,2188,3032,2385,0,17332,2253,0,0,0,0,3232,3025,0,2313,0,2844,0,2463,1192,0,0,0,0,0,5948,52270,22162,662,0,55730,376,0,0,0,0,2390,0,0,4352,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,0,1076,0,0,0,0,3189,0
