,Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction
0,1,HomeGoods,TN,36.33870566,-82.37720278,544090,"36.33870566,-82.37720278",1,9,9,4,1024.3064516129032,1056.857807690206,862.7597106581989,586.0,1295.0,1350.2857142857142,844.5714285714286,701.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,1.0,2.0
1,2,HomeGoods,TN,35.92631903,-84.04940438,501003,"35.92631903,-84.04940438",2,17,28,5,1234.2894736842106,1036.7431773662759,926.8782924709042,759.8015701754385,1787.0,1371.8,1077.7083333333333,1224.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,49.0,1.0,1.0,1.0
2,3,HomeGoods,TN,35.85473329,-86.42753616,357527,"35.85473329,-86.42753616",3,23,17,16,1054.240522875817,1079.1325071021618,955.5789840787319,636.2168849588778,1663.0,1421.1904761904761,1267.1818181818182,898.1818181818181,3.0,4.0,0.0,1.0,0.0,0.0,1.0,49.0,3.0,5.0,2.0
3,4,HomeGoods,TN,36.33443225,-86.62290839,344169,"36.33443225,-86.62290839",2,16,8,0,999.312030075188,1001.435151084697,840.9692566790033,,1532.0,1472.1818181818182,1204.0,,0.0,4.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0
4,5,HomeGoods,TN,36.15757025,-85.51927464,340950,"36.15757025,-85.51927464",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
5,6,HomeGoods,TN,35.88302644,-83.57591044,321679,"35.88302644,-83.57591044",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,7,HomeGoods,TN,35.73977486,-86.9396596,320892,"35.73977486,-86.9396596",0,1,0,0,,1010.2822580645161,,,,1362.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,8,HomeGoods,TN,35.03565483,-85.15422286,315205,"35.03565483,-85.15422286",0,12,16,2,,1067.2597305302245,900.3272278172396,708.6964285714286,,1347.8181818181818,1160.7272727272727,547.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,1.0
8,9,HomeGoods,TN,35.16931871,-89.7949902,310435,"35.16931871,-89.7949902",2,13,16,3,1064.4878692646134,1016.5280092614981,988.0105682226929,798.1554160125588,1532.5,1313.3846153846155,1066.8333333333333,931.5,1.0,1.0,0.0,2.0,0.0,0.0,0.0,31.0,1.0,1.0,1.0
9,10,HomeGoods,TN,36.08116861,-86.94533,266647,"36.08116861,-86.94533",3,11,9,2,1025.0225483072925,1052.038478755528,1163.8443561340396,,1846.6666666666667,1529.3636363636363,1451.3333333333333,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,2.0
10,11,HomeGoods,TN,35.7510673,-83.99065566,256948,"35.7510673,-83.99065566",0,5,6,6,,1076.9196337638937,919.4969479965899,802.1902473118279,,1191.6,561.5,693.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0
11,12,HomeGoods,TN,36.01126971,-84.25341437,248757,"36.01126971,-84.25341437",0,2,9,3,,946.4252336448599,790.197958334684,684.3784183296378,,1038.0,1002.75,659.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0
12,13,HomeGoods,TN,35.04903869,-89.73581482,240601,"35.04903869,-89.73581482",12,14,0,0,1073.3174620181878,994.8736740650791,,,1631.2222222222222,1424.1818181818182,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,3.0,2.0
13,14,HomeGoods,TN,35.20786186,-84.84919388,226016,"35.20786186,-84.84919388",0,2,2,4,,1023.6831606526141,782.5990717821783,626.8888221795066,,1242.0,880.0,710.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
