STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Tract_Population
1,63,60102,1063060102,601.02,Census Tract 601.02,G5020,S,423259520,9290053,32.9149912,-87.864992,1972
1,63,60101,1063060101,601.01,Census Tract 601.01,G5020,S,79177219,846346,32.7798753,-87.9366318,1571
1,69,40802,1069040802,408.02,Census Tract 408.02,G5020,S,31146753,351369,31.1494473,-85.4186788,4022
1,69,40204,1069040204,402.04,Census Tract 402.04,G5020,S,11747450,0,31.2479491,-85.4457095,6220
1,69,41902,1069041902,419.02,Census Tract 419.02,G5020,S,141641460,505996,31.1625826,-85.2352378,4858
1,69,40205,1069040205,402.05,Census Tract 402.05,G5020,S,8597200,89063,31.2310522,-85.4721506,5736
1,69,40203,1069040203,402.03,Census Tract 402.03,G5020,S,14602533,0,31.2613323,-85.4742453,2845
1,69,40801,1069040801,408.01,Census Tract 408.01,G5020,S,20146185,217773,31.1885874,-85.4439517,5002
1,69,41901,1069041901,419.01,Census Tract 419.01,G5020,S,37528653,316521,31.1937795,-85.2970892,3059
1,69,40206,1069040206,402.06,Census Tract 402.06,G5020,S,9908157,26413,31.212879,-85.4521065,3977
1,125,10706,1125010706,107.06,Census Tract 107.06,G5020,S,80043033,1031588,33.1868781,-87.3623657,3898
1,125,10704,1125010704,107.04,Census Tract 107.04,G5020,S,193970429,977789,33.0566238,-87.477616,4316
1,125,10705,1125010705,107.05,Census Tract 107.05,G5020,S,41990784,2708593,33.0483114,-87.6133839,3496
1,125,10104,1125010104,101.04,Census Tract 101.04,G5020,S,187321805,3791750,33.4984524,-87.6241479,2763
1,125,12504,1125012504,125.04,Census Tract 125.04,G5020,S,36312155,2087094,33.1204035,-87.5913757,2885
1,125,10305,1125010305,103.05,Census Tract 103.05,G5020,S,103536195,1911068,33.2942284,-87.6875513,3336
1,125,10603,1125010603,106.03,Census Tract 106.03,G5020,S,42714674,628079,33.25485,-87.1123475,4636
1,125,12306,1125012306,123.06,Census Tract 123.06,G5020,S,9866291,99803,33.1829754,-87.4917184,6031
1,125,10707,1125010707,107.07,Census Tract 107.07,G5020,S,175786256,470563,33.1089565,-87.3778559,3955
1,125,10206,1125010206,102.06,Census Tract 102.06,G5020,S,11525092,345406,33.2610949,-87.5873104,4378
1,125,12307,1125012307,123.07,Census Tract 123.07,G5020,S,2460565,8916,33.1724661,-87.5005505,1893
1,125,12505,1125012505,125.05,Census Tract 125.05,G5020,S,6228259,15330,33.1308682,-87.5619302,3255
1,125,10604,1125010604,106.04,Census Tract 106.04,G5020,S,89705941,1400719,33.2752676,-87.1920503,5181
1,125,12101,1125012101,121.01,Census Tract 121.01,G5020,S,3608749,8672,33.1932706,-87.5098059,3770
