"STATEFP","COUNTYFP","NAME","TRACTCE"
"12","071","802.03","080203"
"12","071","401.10","040110"
"12","071","401.24","040124"
"12","011","603.03","060303"
"12","086","136","013600"
"12","086","137","013700"
"12","086","9801","980100"
"12","011","1105.01","110501"
"12","069","303.07","030307"
"12","069","309.14","030914"
"12","069","308.05","030805"
"12","086","10.04","001004"
"12","086","10.05","001005"
"12","099","76.10","007610"
"12","099","76.12","007612"
"12","119","9112.02","911202"
"12","086","10.06","001006"
"12","086","11.01","001101"
"12","086","11.02","001102"
"12","086","11.03","001103"
"12","086","11.04","001104"
"12","099","76.14","007614"
"12","099","76.15","007615"
"12","099","76.16","007616"
"12","099","77.05","007705"
"12","099","77.16","007716"
"12","117","218.05","021805"
"12","117","222.09","022209"
"12","071","403.11","040311"
"12","071","402.05","040205"
"12","071","403.12","040312"
"12","071","401.08","040108"
"12","109","214.08","021408"
"12","109","206.03","020603"
"12","109","208.08","020808"
"12","109","206.06","020606"
"12","109","209.03","020903"
"12","109","212.07","021207"
"12","109","209.06","020906"
"12","109","209.04","020904"
"12","109","212.08","021208"
"12","109","208.10","020810"
"12","109","208.11","020811"
"12","109","206.04","020604"
"12","109","208.09","020809"
"12","109","212.09","021209"
"12","109","209.05","020905"
"12","109","206.05","020605"
"12","061","506.02","050602"
"12","011","407.01","040701"
"12","011","101.03","010103"
"12","003","401.02","040102"
"12","003","402.02","040202"
"12","003","402.01","040201"
"12","003","401.01","040101"
"12","011","203.25","020325"
"12","011","1103.38","110338"
"12","011","502.06","050206"
"12","011","105.03","010503"
"12","011","309.04","030904"
"12","011","503.11","050311"
"12","011","202.12","020212"
"12","037","9901","990100"
"12","011","302.01","030201"
"12","011","302.03","030203"
"12","011","302.02","030202"
"12","069","304.11","030411"
"12","099","77.68","007768"
"12","099","77.78","007778"
"12","099","77.46","007746"
"12","099","77.47","007747"
"12","099","77.79","007779"
"12","099","77.77","007777"
"12","099","77.73","007773"
"12","099","77.72","007772"
"12","099","78.52","007852"
"12","099","77.71","007771"
"12","099","78.50","007850"
"12","099","78.51","007851"
"12","099","78.53","007853"
"12","069","313.18","031318"
"12","069","304.08","030408"
"12","069","313.23","031323"
"12","069","312.07","031207"
"12","069","312.08","031208"
"12","069","313.12","031312"
"12","069","310.01","031001"
"12","069","313.24","031324"
"12","069","311.08","031108"
"12","069","301.10","030110"
"12","069","311.06","031106"
"12","069","309.15","030915"
"12","069","313.16","031316"
"12","069","313.21","031321"
"12","069","302.10","030210"
"12","069","309.17","030917"
"12","069","313.20","031320"
"12","069","313.19","031319"
"12","069","310.02","031002"
"12","069","313.14","031314"
"12","069","313.17","031317"
"12","069","312.06","031206"
"12","069","309.18","030918"
"12","069","309.16","030916"
"12","069","304.09","030409"
"12","085","9901","990100"
"12","111","3820.10","382010"
"12","111","3816.02","381602"
"12","111","3810","381000"
"12","111","3812.04","381204"
"12","111","3813","381300"
"12","086","14.01","001401"
"12","086","14.02","001402"
"12","086","15.01","001501"
"12","086","15.02","001502"
"12","099","77.23","007723"
"12","099","77.24","007724"
"12","099","77.25","007725"
"12","099","77.30","007730"
