,Rank,Name,State,Lat,Long,Total_Visits,client_coords,Household_Income_0-25K,Household_Income_25K-50K,Household_Income_50K-75K,Household_Income_75K-100K,Household_Income_100K-150K,Household_Income_150K+
0,1,HomeGoods,TN,36.33870566,-82.37720278,544090,"36.33870566,-82.37720278",3667.0,3223.0,2694.0,2047.0,1998.0,1880.0
1,2,HomeGoods,TN,35.92631903,-84.04940438,501003,"35.92631903,-84.04940438",2192.0,4737.0,5569.0,4927.0,7123.0,7728.0
2,3,HomeGoods,TN,35.85473329,-86.42753616,357527,"35.85473329,-86.42753616",2602.0,5869.0,6305.0,4732.0,6069.0,4377.0
3,4,HomeGoods,TN,36.33443225,-86.62290839,344169,"36.33443225,-86.62290839",1629.0,3478.0,4130.0,4236.0,5123.0,4776.0
4,5,HomeGoods,TN,36.15757025,-85.51927464,340950,"36.15757025,-85.51927464",1681.0,2586.0,2320.0,1544.0,1469.0,1104.0
5,6,HomeGoods,TN,35.88302644,-83.57591044,321679,"35.88302644,-83.57591044",1375.0,1806.0,1131.0,474.0,900.0,720.0
6,7,HomeGoods,TN,35.73977486,-86.9396596,320892,"35.73977486,-86.9396596",929.0,1362.0,2356.0,2678.0,3683.0,2511.0
7,8,HomeGoods,TN,35.03565483,-85.15422286,315205,"35.03565483,-85.15422286",2290.0,4157.0,4257.0,3854.0,4260.0,3244.0
8,9,HomeGoods,TN,35.16931871,-89.7949902,310435,"35.16931871,-89.7949902",2775.0,6957.0,7333.0,6452.0,8465.0,6205.0
9,10,HomeGoods,TN,36.08116861,-86.94533,266647,"36.08116861,-86.94533",764.0,1748.0,2274.0,2638.0,4224.0,6977.0
10,11,HomeGoods,TN,35.7510673,-83.99065566,256948,"35.7510673,-83.99065566",1830.0,3745.0,3191.0,3310.0,3211.0,2087.0
11,12,HomeGoods,TN,36.01126971,-84.25341437,248757,"36.01126971,-84.25341437",862.0,2017.0,1658.0,939.0,967.0,967.0
12,13,HomeGoods,TN,35.04903869,-89.73581482,240601,"35.04903869,-89.73581482",1002.0,2502.0,4067.0,3612.0,7694.0,11025.0
13,14,HomeGoods,TN,35.20786186,-84.84919388,226016,"35.20786186,-84.84919388",2522.0,3805.0,2539.0,2075.0,2655.0,1280.0
