Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
1,HomeGoods,185,569734,26.36580292,-80.17252744,,,,,,12099007741,7741,12,99,4371,51961
2,HomeGoods,655,522058,28.23777963,-80.72697222,,,,,,12009071201,71201,12,9,7360,61221
3,HomeGoods,363,489856,27.79487277,-82.72993464,,,,,,12103022502,22502,12,103,3531,76739
4,HomeGoods,136,485955,26.19937225,-81.80254251,,,,,,12021000301,301,12,21,3567,174231
5,HomeGoods,322,477152,28.01412693,-82.73205985,,,,,,12103026812,26812,12,103,5044,69500
6,HomeGoods,189,463562,30.19231757,-81.54927783,,,,,,12031014413,14413,12,31,5895,97969
7,HomeGoods,171,461838,29.14093156,-82.1923159,,,,,,12083002505,2505,12,83,6019,70783
8,HomeGoods,367,455531,26.43845946,-80.0875143,,,,,,12099006906,6906,12,99,5626,90137
9,HomeGoods,194,453034,26.00951958,-80.29762476,,,,,,12011110309,110309,12,11,7371,74750
10,HomeGoods,429,445372,26.61141935,-81.93928049,,,,,,12071010309,10309,12,71,5099,84146
11,HomeGoods,65,436436,30.18752975,-85.66929318,,,,,,12005001502,1502,12,5,6034,82757
12,HomeGoods,674,432976,27.39095759,-82.45131561,,,,,,12081000810,810,12,81,5389,101300
13,HomeGoods,428,428685,26.27045514,-80.2048016,,,,,,12011020205,20205,12,11,6267,74147
14,HomeGoods,421,413292,27.92150533,-82.31622451,,,,,,12057013323,13323,12,57,11257,68358
15,HomeGoods,129,412995,27.17784963,-80.23397274,,,,,,12085001000,1000,12,85,6405,53933
16,HomeGoods,394,396596,28.12517003,-82.50067145,,,,,,12057011109,11109,12,57,4278,112240
17,HomeGoods,319,395674,26.81035612,-80.10442322,,,,,,12099000903,903,12,99,5885,91382
18,HomeGoods,860,393463,28.19575308,-82.39523618,,,,,,12101032012,32012,12,101,3778,101579
19,HomeGoods,1056,374706,27.97878626,-81.96002689,,,,,,12105011901,11901,12,105,5401,46020
20,HomeGoods,1003,349056,28.64519247,-81.26554995,,,,,,12117021318,21318,12,117,8013,86235
21,HomeGoods,358,348545,26.1436978,-80.31846758,,,,,,12011060120,60120,12,11,6817,106345
22,HomeGoods,687,343936,25.98144866,-80.35700351,,,,,,12011110360,110360,12,11,5977,143183
23,HomeGoods,820,342255,27.00886746,-82.13459966,,,,,,12015020301,20301,12,15,6071,61667
24,HomeGoods,202,339994,26.04303387,-80.159139,,,,,,12011080500,80500,12,11,7927,44271
25,HomeGoods,174,339711,26.54326572,-81.87256439,,,,,,12071001709,1709,12,71,2250,85833
26,HomeGoods,,339550,26.72503533,-80.09046643,,,,,,12099001802,1802,12,99,3550,69118
27,HomeGoods,475,338604,30.26986432,-81.39007952,,,,,,12031014203,14203,12,31,4766,134934
28,HomeGoods,556,335144,30.51274856,-84.24940791,,,,,,12073002416,2416,12,73,2690,141591
29,HomeGoods,1032,329864,28.22413088,-81.64240978,,,,,,12105012509,12509,12,105,2152,86458
30,HomeGoods,594,324403,26.48350393,-81.78857966,,,,,,12071040138,40138,12,71,3927,109375
31,HomeGoods,388,318395,28.66604187,-81.42310081,,,,,,12117021606,21606,12,117,6906,56250
32,HomeGoods,750,315668,27.84483595,-82.79276146,,,,,,12103025111,25111,12,103,2842,70000
33,HomeGoods,190,315346,27.2974095,-82.49483224,,,,,,12115001702,1702,12,115,5995,79107
34,HomeGoods,1067,312041,28.53574365,-82.50738891,,,,,,12053040801,40801,12,53,3966,51764
35,HomeGoods,608,308755,30.38946502,-86.43853555,,,,,,12091023304,23304,12,91,4284,116033
36,HomeGoods,504,301033,25.80854892,-80.19409305,,,,,,12086002600,2600,12,86,7195,49258
