Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
1,HomeGoods,TN,36.33870566,-82.37720278,544090,"36.33870566,-82.37720278",0,1,3,1,1,3,0,1,0,,391805,2346401,490858,542085,6862766,,545687,
2,HomeGoods,TN,35.92631903,-84.04940438,501003,"35.92631903,-84.04940438",1,2,2,3,2,3,0,1,2,232446,864232,1969968,925772,2009591,5997267,,745427,1229172
3,HomeGoods,TN,35.85473329,-86.42753616,357527,"35.85473329,-86.42753616",1,1,1,1,1,5,0,1,1,207209,462298,1047632,533136,1089643,8823711,,561342,345718
4,HomeGoods,TN,36.33443225,-86.62290839,344169,"36.33443225,-86.62290839",1,1,5,2,4,5,0,1,1,183248,503988,2960794,560575,2285730,8920867,,394611,199711
5,HomeGoods,TN,36.15757025,-85.51927464,340950,"36.15757025,-85.51927464",0,1,1,1,0,2,0,1,0,,323738,1378546,357762,,4567778,,660811,
6,HomeGoods,TN,35.88302644,-83.57591044,321679,"35.88302644,-83.57591044",0,0,1,1,1,1,0,1,1,,,757014,218319,594799,5083217,,788124,482572
7,HomeGoods,TN,35.73977486,-86.9396596,320892,"35.73977486,-86.9396596",0,1,1,1,1,1,0,0,0,,305453,538683,168782,597353,1498891,,,
8,HomeGoods,TN,35.03565483,-85.15422286,315205,"35.03565483,-85.15422286",2,1,2,2,2,4,0,2,2,479432,402676,1863642,500590,1469334,7411660,,693078,723259
9,HomeGoods,TN,35.16931871,-89.7949902,310435,"35.16931871,-89.7949902",4,2,4,3,5,5,1,4,4,976749,583299,3391261,1158938,3363531,10746458,240601,1775271,1417131
10,HomeGoods,TN,36.08116861,-86.94533,266647,"36.08116861,-86.94533",1,0,1,2,1,1,0,1,1,192019,,629189,349215,734618,1577213,,327611,256613
11,HomeGoods,TN,35.7510673,-83.99065566,256948,"35.7510673,-83.99065566",0,0,1,1,1,2,0,0,0,,,867158,291799,879897,4393811,,,
12,HomeGoods,TN,36.01126971,-84.25341437,248757,"36.01126971,-84.25341437",0,0,0,1,1,2,0,1,1,,,,316047,766007,3888148,,564026,667805
13,HomeGoods,TN,35.04903869,-89.73581482,240601,"35.04903869,-89.73581482",2,1,3,2,3,3,1,2,3,555055,175574,1932073,530004,1880936,6285627,310435,973536,1142903
