Name,State,Total_Visits,Lat,Long,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,num_stores_Aldi,num_stores_Publix,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,num_stores_Sprouts_Farmers_Market,total_visit_Aldi,total_visit_Publix,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,total_visit_Sprouts_Farmers_Market,num_grocery_stores,total_grocery_visit,2022 Tapestry Adult Pop Base,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks
HomeGoods,FL,569734,26.36580292,-80.17252744,"26.36580292,-80.17252744",1,17,2,0,1551.225589,1137.743426,506.0643564,,3643,2548.8,,,0,3,0,2,0,1,1,1,5,1,0,0,0,0,1,1,0,340853,4596941,321886,0,0,0,0,466128,100377,0,9,5826185,146453,11611,4200,0,7260,4442,0,523,0,884,0,0,0,8601,18892,2365,0,8827,1336,0,0,739,0,0,0,0,0,0,0,1742,0,0,0,2633,2567,3066,0,0,2486,0,1677,19559,19982,1374,7007,0,0,0,0,3301,0,0,2971,4765,3591,0,0,0,0,0,0,0,0,0,0,0,0,51,2,1,1,1,2,3,3,0,2,2,328957,507181,660835,798667,3279644,5441689,0,980763,763691,1,1
HomeGoods,FL,522058,28.23777963,-80.72697222,"28.23777963,-80.72697222",0,4,4,0,,1088.269925,1034.945326,,,2027.666667,1759.5,,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1883968,0,289296,0,0,0,0,48284,0,4,2221548,38562,0,0,0,4094,2489,0,0,0,0,0,0,0,0,0,974,17424,0,0,372,6402,3287,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,1557,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,434068,824054,302806,806749,1925701,0,350150,0,2,1
HomeGoods,FL,489856,27.79487277,-82.72993464,"27.79487277,-82.72993464",0,1,3,13,,827.95,700.4412698,785.1969125,,1462,1117,1182.25,0,3,0,2,0,0,0,1,5,0,1,0,1,0,3,2,0,237809,4268748,0,372268,0,495820,0,808450,87545,0,13,6270640,138469,0,0,0,0,2879,0,0,0,1549,0,0,0,0,211,0,2662,1664,4700,40405,9892,0,0,10,0,0,4304,0,0,664,0,0,0,0,3373,0,0,7392,2609,2226,1529,2288,6035,13500,3211,1578,0,0,0,39,0,0,0,0,2019,103,2514,13609,4553,2951,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,1,2,2,309970,464864,1389859,564127,3794158,8212951,315668,786990,480765,2,1
HomeGoods,FL,485955,26.19937225,-81.80254251,"26.19937225,-81.80254251",0,5,3,1,,932.3119119,917.6976905,600,,1727.75,2244.5,,0,2,0,1,0,0,1,1,3,1,1,0,1,0,0,0,0,273493,2426234,203764,257345,0,797549,0,0,0,0,7,3958385,48670,861,0,0,0,1505,0,0,0,0,0,0,0,0,0,40,0,0,2138,0,2719,68,0,44,0,0,0,0,0,0,0,0,0,0,0,3206,0,2412,2320,0,15726,3806,8257,324,3723,0,0,0,0,0,0,0,0,735,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,1,2,250447,383506,867257,343138,2100884,2390817,0,474058,780216,0,0
HomeGoods,FL,477152,28.01412693,-82.73205985,"28.01412693,-82.73205985",0,3,11,7,,1022.962115,906.8677568,819.9826786,,1739.333333,1720.090909,1240.2,0,2,0,2,0,0,0,1,5,1,1,0,1,1,1,0,1,338981,5249022,314702,240257,0,613942,1112705,106745,0,264749,12,8241103,147778,0,0,0,4926,5314,1649,0,0,1263,0,0,0,0,2071,0,8335,4355,7977,7370,12753,2122,0,2696,0,0,0,528,0,1195,0,0,0,0,2403,3537,0,7022,7511,195,104,8294,13901,13459,16282,0,0,0,0,0,0,0,1869,5387,3539,0,421,0,1299,0,0,0,0,0,0,0,0,0,0,1,1,3,4,2,3,0,1,2,319849,627180,1967938,1110525,1990874,5521963,0,625093,732463,2,1
HomeGoods,FL,463562,30.19231757,-81.54927783,"30.19231757,-81.54927783",0,16,12,0,,972.667166,1037.97609,,,1519.75,1334.6,,0,3,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,146288,1391024,0,0,0,411633,0,414536,0,0,5,2363481,23797,0,0,0,2688,571,0,0,0,3344,0,1581,0,576,736,0,0,0,0,0,826,0,0,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,10631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,0,1,1,308052,427994,1484042,688150,596556,3179958,0,414246,341760,1,1
HomeGoods,FL,461838,29.14093156,-82.1923159,"29.14093156,-82.1923159",0,3,5,5,,1136.567354,1032.875801,963.3470373,,1797.666667,1417.6,1473,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,217756,1983551,0,0,0,0,0,0,122214,0,4,2323521,29254,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,4345,1556,0,0,0,0,0,0,645,0,0,0,0,0,0,397,0,0,0,0,0,0,0,2745,2074,0,0,2618,2553,3399,0,0,0,0,4,0,0,0,0,4127,1194,0,0,188,364,0,0,1864,0,0,0,0,0,0,1,1,2,1,1,1,0,1,1,333372,420439,1500986,355776,992389,2617882,0,486906,394080,1,1
HomeGoods,FL,455531,26.43845946,-80.0875143,"26.43845946,-80.0875143",2,13,8,2,1035.419548,1153.770018,1001.584543,812.4556962,2962.5,2948.692308,2639.666667,1361,0,9,0,3,0,0,1,1,4,1,0,1,1,1,1,1,0,206950,2762926,236735,0,672562,431792,815893,330111,24617,0,11,5481586,129228,378,0,0,297,8146,4310,970,0,0,175,1169,0,0,4826,0,456,5310,1114,21,980,0,0,0,0,0,0,0,0,6989,0,0,0,0,5285,3861,0,3057,6286,0,10731,6330,27290,0,12460,0,0,0,0,0,0,0,2268,0,2612,1583,3715,0,1651,2714,0,0,0,0,0,0,0,4244,0,0,0,1,2,3,2,0,1,1,0,0,693216,504429,2871328,2443686,0,302075,332075,1,1
HomeGoods,FL,453034,26.00951958,-80.29762476,"26.00951958,-80.29762476",0,23,8,2,,1125.513635,819.3699881,627.3409091,,2590.304348,1804.857143,,0,3,0,4,0,0,3,1,9,1,0,1,0,0,0,1,1,180401,7842293,397661,0,920914,0,0,0,118505,263098,14,9722872,157012,0,6087,5218,13602,0,0,4344,0,0,0,0,0,7729,22326,0,0,0,0,0,0,0,0,0,0,0,0,17224,4848,25512,0,0,2358,0,0,15271,0,0,0,0,0,0,12722,1754,6979,2026,0,0,0,0,0,1523,1706,5421,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,10,6,8,1,2,3,1197596,512117,2090086,3469121,6806917,16576841,343936,737648,865991,2,1
HomeGoods,FL,445372,26.61141935,-81.93928049,"26.61141935,-81.93928049",0,1,0,0,,994.9953917,,,,1453,,,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,244614,1959451,0,0,0,0,0,0,98804,0,4,2302869,103185,0,0,0,0,856,0,0,0,0,0,0,0,0,0,8351,3984,1245,0,15689,16358,397,4681,10180,0,0,5653,449,0,4962,0,0,0,0,96,0,0,0,4337,175,5116,247,1065,3811,2994,0,0,0,0,0,0,0,3217,4633,1491,1444,0,89,1595,0,0,0,70,0,0,0,0,0,0,2,1,2,2,2,2,0,1,1,725143,469241,1589869,636389,1975260,4244950,0,342542,393505,1,1
