Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Food_City,num_stores_Food_Lion_Grocery_Store,num_stores_Ingles,num_stores_Kroger,num_stores_Piggly_Wiggly,num_stores_Publix,num_stores_Sprouts_Farmers_Market,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,total_visit_Aldi,total_visit_Food_City,total_visit_Food_Lion_Grocery_Store,total_visit_Ingles,total_visit_Kroger,total_visit_Piggly_Wiggly,total_visit_Publix,total_visit_Sprouts_Farmers_Market,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,num_grocery_stores,total_grocery_visit
1,HomeGoods,TN,36.33870566,-82.37720278,544090,"36.33870566,-82.37720278",1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,403896,824889,213589,0,1660771,0,0,0,401799,0,0,0,0,0,0,6,3504944
2,HomeGoods,TN,35.92631903,-84.04940438,501003,"35.92631903,-84.04940438",1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,222752,784771,0,0,2462706,0,0,0,0,0,768286,0,1036117,0,0,7,5274632
3,HomeGoods,TN,35.85473329,-86.42753616,357527,"35.85473329,-86.42753616",1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,208080,0,0,0,1194441,0,586670,289414,0,0,0,634993,0,0,0,6,2913598
4,HomeGoods,TN,36.33443225,-86.62290839,344169,"36.33443225,-86.62290839",1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,208408,0,0,0,1798727,0,508425,0,0,0,0,0,0,0,0,4,2515560
5,HomeGoods,TN,36.15757025,-85.51927464,340950,"36.15757025,-85.51927464",1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,309586,0,992199,0,1529093,0,924318,0,0,0,0,0,0,0,0,5,3755196
6,HomeGoods,TN,35.88302644,-83.57591044,321679,"35.88302644,-83.57591044",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,123710,743464,0,0,1068552,0,835542,0,0,0,0,859245,0,0,0,5,3630513
7,HomeGoods,TN,35.73977486,-86.9396596,320892,"35.73977486,-86.9396596",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,87978,0,227045,0,942210,0,585638,0,0,0,0,0,0,0,0,4,1842871
8,HomeGoods,TN,35.03565483,-85.15422286,315205,"35.03565483,-85.15422286",1,2,0,0,0,0,2,0,1,0,0,1,1,0,0,111000,679973,0,0,0,0,1570697,0,363510,0,0,623293,395194,0,0,8,3743667
9,HomeGoods,TN,35.16931871,-89.7949902,310435,"35.16931871,-89.7949902",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,183375,0,0,0,3831425,0,0,0,0,0,0,0,0,0,0,4,4014800
10,HomeGoods,TN,36.08116861,-86.94533,266647,"36.08116861,-86.94533",1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,193751,0,0,0,1437609,0,1483055,329316,0,0,0,0,0,0,0,6,3443731
11,HomeGoods,TN,35.7510673,-83.99065566,256948,"35.7510673,-83.99065566",1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,242019,836944,357897,0,2430440,0,0,0,0,0,0,0,0,0,0,6,3867300
12,HomeGoods,TN,36.01126971,-84.25341437,248757,"36.01126971,-84.25341437",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,171984,443695,0,0,1424686,0,0,0,0,0,0,0,0,0,0,3,2040365
13,HomeGoods,TN,35.04903869,-89.73581482,240601,"35.04903869,-89.73581482",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1233805,0,0,530261,247639,0,0,0,0,0,0,3,2011705
14,HomeGoods,TN,35.20786186,-84.84919388,226016,"35.20786186,-84.84919388",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,643829,296193,0,0,0,1078833,0,0,0,0,0,0,0,0,3,2018855
1,HomeGoods,FL,26.36580292,-80.17252744,569734,"26.36580292,-80.17252744",1,0,0,0,0,0,5,0,1,0,0,0,0,1,1,340853,0,0,0,0,0,4596941,0,321886,0,0,0,0,466128,100377,9,5826185
2,HomeGoods,FL,28.23777963,-80.72697222,522058,"28.23777963,-80.72697222",0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1883968,0,0,289296,0,0,0,0,48284,4,2221548
3,HomeGoods,FL,27.79487277,-82.72993464,489856,"27.79487277,-82.72993464",1,0,0,0,0,0,5,0,0,1,0,1,0,3,2,237809,0,0,0,0,0,4268748,0,0,372268,0,495820,0,808450,87545,13,6270640
4,HomeGoods,FL,26.19937225,-81.80254251,485955,"26.19937225,-81.80254251",1,0,0,0,0,0,3,0,1,1,0,1,0,0,0,273493,0,0,0,0,0,2426234,0,203764,257345,0,797549,0,0,0,7,3958385
5,HomeGoods,FL,28.01412693,-82.73205985,477152,"28.01412693,-82.73205985",1,0,0,0,0,0,5,1,1,1,0,1,1,1,0,338981,0,0,0,0,0,5249022,264749,314702,240257,0,613942,1112705,106745,0,12,8241103
6,HomeGoods,FL,30.19231757,-81.54927783,463562,"30.19231757,-81.54927783",1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,146288,0,0,0,0,0,1391024,0,0,0,0,411633,0,414536,0,5,2363481
7,HomeGoods,FL,29.14093156,-82.1923159,461838,"29.14093156,-82.1923159",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,217756,0,0,0,0,0,1983551,0,0,0,0,0,0,0,122214,4,2323521
8,HomeGoods,FL,26.43845946,-80.0875143,455531,"26.43845946,-80.0875143",1,0,0,0,0,0,4,0,1,0,1,1,1,1,1,206950,0,0,0,0,0,2762926,0,236735,0,672562,431792,815893,330111,24617,11,5481586
9,HomeGoods,FL,26.00951958,-80.29762476,453034,"26.00951958,-80.29762476",1,0,0,0,0,0,9,1,1,0,1,0,0,0,1,180401,0,0,0,0,0,7842293,263098,397661,0,920914,0,0,0,118505,14,9722872
10,HomeGoods,FL,26.61141935,-81.93928049,445372,"26.61141935,-81.93928049",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,244614,0,0,0,0,0,1959451,0,0,0,0,0,0,0,98804,4,2302869
11,HomeGoods,FL,30.18752975,-85.66929318,436436,"30.18752975,-85.66929318",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2131054,0,0,0,0,0,0,397299,0,3,2528353
12,HomeGoods,FL,27.39095759,-82.45131561,432976,"27.39095759,-82.45131561",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,632409,0,281977,365584,0,0,829590,0,0,4,2109560
13,HomeGoods,FL,26.27045514,-80.2048016,428685,"26.27045514,-80.2048016",1,0,0,0,0,0,6,0,1,1,1,0,0,1,0,296681,0,0,0,0,0,5599079,0,357329,347755,388874,0,0,553146,0,11,7542864
14,HomeGoods,FL,27.92150533,-82.31622451,413292,"27.92150533,-82.31622451",2,0,0,0,0,0,4,0,0,1,0,2,0,1,0,467862,0,0,0,0,0,3088425,0,0,380139,0,855208,0,316690,0,10,5108324
15,HomeGoods,FL,27.17784963,-80.23397274,412995,"27.17784963,-80.23397274",1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,313396,0,0,0,0,0,1062574,157248,349424,0,0,0,0,0,55192,6,1937834
16,HomeGoods,FL,28.12517003,-82.50067145,396596,"28.12517003,-82.50067145",0,0,0,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2862708,251894,0,0,0,0,554225,646333,0,8,4315160
17,HomeGoods,FL,26.81035612,-80.10442322,395674,"26.81035612,-80.10442322",1,0,0,0,0,0,5,0,0,1,1,0,1,1,1,227275,0,0,0,0,0,3986403,0,0,353129,754631,0,991086,214773,62829,11,6590126
18,HomeGoods,FL,28.19575308,-82.39523618,393463,"28.19575308,-82.39523618",1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,333749,0,0,0,0,0,2761831,0,0,0,0,0,0,324534,125316,5,3545430
19,HomeGoods,FL,27.97878626,-81.96002689,374706,"27.97878626,-81.96002689",0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3523013,0,0,0,0,0,0,261418,84820,6,3869251
20,HomeGoods,FL,28.64519247,-81.26554995,349056,"28.64519247,-81.26554995",0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2640942,0,250430,0,0,732743,0,0,103722,6,3727837
21,HomeGoods,FL,26.1436978,-80.31846758,348545,"26.1436978,-80.31846758",1,0,0,0,0,0,4,0,1,0,0,0,0,2,1,321452,0,0,0,0,0,3537720,0,355692,0,0,0,0,1128445,89861,9,5433170
22,HomeGoods,FL,25.98144866,-80.35700351,343936,"25.98144866,-80.35700351",1,0,0,0,0,0,6,1,0,1,0,0,1,1,1,440788,0,0,0,0,0,5854776,263098,0,412301,0,0,1089807,628154,94528,12,8783452
23,HomeGoods,FL,27.00886746,-82.13459966,342255,"27.00886746,-82.13459966",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,244671,0,0,0,0,0,944952,0,0,0,0,770068,0,522458,0,4,2482149
24,HomeGoods,FL,26.04303387,-80.159139,339994,"26.04303387,-80.159139",1,0,0,0,0,0,5,0,0,0,0,1,0,1,0,383014,0,0,0,0,0,4879932,0,0,0,0,764185,0,286012,0,8,6313143
25,HomeGoods,FL,26.54326572,-81.87256439,339711,"26.54326572,-81.87256439",1,0,0,0,0,0,4,0,1,1,0,1,1,1,1,192245,0,0,0,0,0,3173713,0,327219,422594,0,489214,684502,257582,63611,11,5610680
26,HomeGoods,FL,26.72503533,-80.09046643,339550,"26.72503533,-80.09046643",1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,300961,0,0,0,0,0,3147841,0,0,0,0,0,886823,0,0,6,4335625
27,HomeGoods,FL,30.26986432,-81.39007952,338604,"30.26986432,-81.39007952",0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2323519,0,0,0,527508,0,417351,310552,64297,7,3643227
28,HomeGoods,FL,30.51274856,-84.24940791,335144,"30.51274856,-84.24940791",0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2393824,0,391313,0,760549,0,0,0,43646,5,3589332
29,HomeGoods,FL,28.22413088,-81.64240978,329864,"28.22413088,-81.64240978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30,HomeGoods,FL,26.48350393,-81.78857966,324403,"26.48350393,-81.78857966",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,213742
31,HomeGoods,FL,28.66604187,-81.42310081,318395,"28.66604187,-81.42310081",1,0,0,0,0,0,5,0,0,1,0,1,1,1,1,369987,0,0,0,0,0,4579908,0,0,320848,0,887058,646675,486547,45873,11,7336896
32,HomeGoods,FL,27.84483595,-82.79276146,315668,"27.84483595,-82.79276146",1,0,0,0,0,0,5,1,0,1,0,0,0,4,1,253964,0,0,0,0,0,3684800,225132,0,372268,0,0,0,1293355,66878,13,5896397
33,HomeGoods,FL,27.2974095,-82.49483224,315346,"27.2974095,-82.49483224",1,0,0,0,0,0,6,0,0,0,1,2,0,1,1,195747,0,0,0,0,0,5122347,0,0,0,842519,1186188,0,239675,54068,12,7640544
34,HomeGoods,FL,28.53574365,-82.50738891,312041,"28.53574365,-82.50738891",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242779
35,HomeGoods,FL,30.38946502,-86.43853555,308755,"30.38946502,-86.43853555",0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1531016,0,194367,0,0,0,546963,0,147558,4,2419904
36,HomeGoods,FL,25.80854892,-80.19409305,301033,"25.80854892,-80.19409305",0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3815667,0,0,0,0,0,863779,1193924,0,7,5873370
37,HomeGoods,FL,27.31814121,-80.38932411,287583,"27.31814121,-80.38932411",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,276266,0,0,0,0,0,790083,0,0,0,0,674358,0,0,0,3,1740707
38,HomeGoods,FL,28.20429473,-82.66904311,283091,"28.20429473,-82.66904311",0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2210101,441763,0,0,0,0,0,349314,0,5,3001178
39,HomeGoods,FL,27.84340964,-82.64425415,277716,"27.84340964,-82.64425415",0,0,0,0,0,0,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,4007978,0,0,0,0,442506,0,1021367,139476,9,5611327
40,HomeGoods,FL,28.03892629,-80.6652918,257867,"28.03892629,-80.6652918",1,0,0,0,0,0,3,0,0,0,0,1,0,3,1,306351,0,0,0,0,0,2926731,0,0,0,0,618759,0,1167827,59149,9,5078817
41,HomeGoods,FL,30.3181815,-81.49375477,255909,"30.3181815,-81.49375477",0,0,0,0,0,0,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1780342,297087,334744,0,0,487690,0,697711,0,7,3597574
42,HomeGoods,FL,30.19935294,-81.82823341,249352,"30.19935294,-81.82823341",1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,262602,0,0,0,0,0,1906534,0,0,0,0,0,0,666838,0,4,2835974
43,HomeGoods,FL,28.46543125,-81.30425886,242747,"28.46543125,-81.30425886",1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,169842,0,0,0,0,0,2702782,0,0,0,0,2351913,0,0,0,6,5224537
44,HomeGoods,FL,30.62694002,-81.54215145,240966,"30.62694002,-81.54215145",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,76809,0,0,0,0,0,1015565,0,0,0,0,0,0,359087,76269,4,1527730
45,HomeGoods,FL,28.45118691,-81.49093846,225273,"28.45118691,-81.49093846",0,0,0,0,0,0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2076786,185185,262119,0,678907,0,1081987,0,0,7,4284984
46,HomeGoods,FL,28.54890771,-81.72528837,224992,"28.54890771,-81.72528837",1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,296874,0,0,0,0,0,2176149,0,0,0,0,0,0,393542,214163,5,3080728
47,HomeGoods,FL,28.49443206,-81.43089219,216774,"28.49443206,-81.43089219",1,0,0,0,0,0,2,0,0,1,0,1,0,0,1,130063,0,0,0,0,0,1758306,0,0,461074,0,488467,0,0,29092,6,2867002
48,HomeGoods,FL,27.46369814,-82.63350917,207024,"27.46369814,-82.63350917",1,0,0,0,0,0,3,0,1,0,0,0,0,2,1,242535,0,0,0,0,0,3280245,0,228865,0,0,0,0,667640,100751,8,4520036
49,HomeGoods,FL,28.13186982,-82.36669457,205392,"28.13186982,-82.36669457",0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2037334,328855,0,0,0,0,0,324534,0,4,2690723
50,HomeGoods,FL,26.34287079,-81.80516736,202822,"26.34287079,-81.80516736",0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2255322,0,302972,0,0,0,0,0,0,4,2558294
51,HomeGoods,FL,26.26183053,-80.10120799,164402,"26.26183053,-80.10120799",1,0,0,0,0,0,4,0,0,0,0,0,1,1,1,261082,0,0,0,0,0,3520313,0,0,0,0,0,900924,327292,74207,8,5083818
52,HomeGoods,FL,25.64231842,-80.33253931,111883,"25.64231842,-80.33253931",0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3409989,0,656538,458028,0,0,1047807,0,0,7,5572362
1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,169309,0,0,0,0,0,1257011,191376,188122,0,0,0,0,323736,0,6,2129554
2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,758783,0,0,0,0,1339123,0,0,0,3,2097906
3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,461164,0,0,0,0,215765,796937,0,332089,0,0,811224,0,394169,0,7,3011348
4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,245752,1843053,0,0,0,0,1034174,0,416448,0,6,3539427
5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,75285,1050115,0,670136,0,0,1299298,397870,0,0,6,3492704
6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,292778,0,0,0,0,0,0,0,0,0,0,0,0,469357,0,2,762135
7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,139930,0,0,0,1178949,0,620564,0,0,0,0,1062202,0,0,0,5,3001645
1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,123710,743464,0,0,1068552,0,835542,0,0,0,0,859245,0,0,0,5,3630513
2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,159444,0,0,0,1152901,0,610049,0,0,0,0,0,0,0,0,3,1922394
3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,222752,784771,0,0,2462706,0,0,0,0,0,768286,0,1036117,0,0,7,5274632
4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,309586,0,992199,0,1529093,0,924318,0,0,0,0,0,0,0,0,5,3755196
5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,643829,296193,0,0,0,1078833,0,0,0,0,0,0,0,0,3,2018855
6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,237039,0,0,0,3527270,0,0,0,0,0,0,0,0,0,0,4,3764309
7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,171984,443695,0,0,1424686,0,0,0,0,0,0,0,0,0,0,3,2040365
8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,208080,0,0,0,1194441,0,1028038,0,0,0,0,1050268,0,0,0,7,3480827
9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",2,0,0,0,1,0,3,1,0,0,0,0,1,0,0,212424,0,0,0,616885,0,1885356,355918,0,0,0,0,904768,0,0,8,3975351
10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,403896,824889,213589,0,1660771,0,0,0,401799,0,0,0,0,0,0,6,3504944
11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1090770,0,0,0,0,0,0,620995,0,0,0,2,1711765
12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",2,0,0,0,3,0,0,1,1,0,0,0,1,0,0,582146,0,0,0,3682434,0,0,480668,304090,0,0,0,963891,0,0,8,6013229
