Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
1,HomeGoods,TN,36.33870566,-82.37720278,544090,"36.33870566,-82.37720278",0,4,10,5,,930.9127566,1036.797012,739.9487179,,1032.25,1232.25,851.6666667,2,0,0,0,0,1,0
2,HomeGoods,TN,35.92631903,-84.04940438,501003,"35.92631903,-84.04940438",0,7,29,12,,1139.300177,967.7509734,784.5633548,,1646.857143,1150.851852,1038.333333,0,5,0,2,0,1,0
3,HomeGoods,TN,35.85473329,-86.42753616,357527,"35.85473329,-86.42753616",0,19,8,11,,1041.15853,1051.012546,760.8206727,,1476.833333,1422.833333,943.2,1,3,0,1,0,0,0
4,HomeGoods,TN,36.33443225,-86.62290839,344169,"36.33443225,-86.62290839",0,7,12,1,,1031.386464,923.5066148,547.5555556,,1540.714286,1359.4,,0,3,0,1,0,0,0
5,HomeGoods,TN,36.15757025,-85.51927464,340950,"36.15757025,-85.51927464",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
6,HomeGoods,TN,35.88302644,-83.57591044,321679,"35.88302644,-83.57591044",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
7,HomeGoods,TN,35.73977486,-86.9396596,320892,"35.73977486,-86.9396596",0,1,0,0,,1010.282258,,,,1362,,,0,0,0,0,0,0,0
8,HomeGoods,TN,35.03565483,-85.15422286,315205,"35.03565483,-85.15422286",0,4,16,5,,1034.731666,998.7296315,806.841332,,1353.25,1257.733333,965.5,0,2,0,0,0,0,0
9,HomeGoods,TN,35.16931871,-89.7949902,310435,"35.16931871,-89.7949902",0,6,18,1,,1040.340661,981.4513243,1100,,1437.666667,1083.4375,1104,1,1,0,1,0,0,0
10,HomeGoods,TN,36.08116861,-86.94533,266647,"36.08116861,-86.94533",0,1,17,0,,1020.035608,1092.913039,,,1923,1527.6875,,0,1,0,0,0,0,0
11,HomeGoods,TN,35.7510673,-83.99065566,256948,"35.7510673,-83.99065566",0,0,6,7,,,1109.817086,836.075947,,,1191.6,626.6666667,0,5,0,1,0,0,0
12,HomeGoods,TN,36.01126971,-84.25341437,248757,"36.01126971,-84.25341437",0,1,4,7,,1030,914.8397536,658.4289157,,1078,1051.5,754.6666667,0,6,0,2,0,0,0
