PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
54_106,54,Little Rock,17,Jacksonville,Pulaski,Park Place of Jacksonville,William Manor,700 Poplar Street,Jacksonville,AR,72076,34.869742,-92.11691,5015419945,68,48520,1.44,C+,C,Completed,,,,1/1/76 0:00,FALSE,,N,N,N,N,,,,47.1,645,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=106
54_1189257,54,Little Rock,10,John Barrow,Pulaski,"Ridge at Little Rock Phase II, The",,1623 Caulden Avenue,Little Rock,AR,72204,34.737728,-92.356733,,50,0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1189257
54_1307778,54,Little Rock,9,Rock Creek,Pulaski,McKenzie Park Phase II,,14201 Kanis Road,Little Rock,AR,72223,34.744497,-92.430531,5012270050,50,0,,,B-,Under Construction,4/1/21 0:00,7/7/21 0:00,11/29/21 0:00,2/28/22 0:00,FALSE,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1307778
54_1314693,54,Little Rock,10,John Barrow,Pulaski,Ascent at Aldersgate,,1310 Aldersgate Road,Little Rock,AR,72205,34.74083,-92.390435,5012173855,50,55025,1.59,A-,B-,Completed,,,,1/1/19 0:00,FALSE,,N,N,N,N,,,,86,1334,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1314693
54_1315317,54,Little Rock,1,Little Rock - Downtown,Pulaski,1111 West Capitol Avenue,,1111 West Capitol Avenue,Little Rock,AR,72201,34.74548,-92.283553,,50,0,,,C,Prospective,,,,,,,,,,,,TRUE,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1315317
54_1318117,54,Little Rock,15,North Little Rock,Pulaski,"Esplanade District Phase II, The",,5 Esplanade Circle,North Little Rock,AR,72114,34.759611,-92.284196,,50,0,,,C+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=1318117
54_146,54,Little Rock,21,Saline,Saline,Country Oaks,,1309 Country Oaks Drive,Benton,AR,72015,34.5501859,-92.546367,5013154900,66,60720,9.6,B-,C+,Completed,,,,1/1/93 0:00,FALSE,,N,N,N,N,,,,100,726,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=146
54_150,54,Little Rock,15,North Little Rock,Pulaski,Christopher Homes of North Little Rock,,656 Donovan Briley Drive,North Little Rock,AR,72118,34.8134144,-92.2748956,5017588582,56,27496,9.3,C+,C+,Completed,,,,1/1/00 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=150
54_154,54,Little Rock,26,Conway,Faulkner,East Oakwood,,1651 East Hairston Avenue,Conway,AR,72034,35.098759,-92.445684,5013274085,50,27740,1.01,C+,C,Completed,,,,1/1/99 0:00,FALSE,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=154
54_163,54,Little Rock,11,Midtown,Pulaski,Summerhill,,419 Bob White Drive,Little Rock,AR,72205,34.7496324,-92.3473797,5016634300,53,58788,3.45,B-,B,Completed,,,,1/1/88 0:00,FALSE,,N,N,N,N,,,,94.3,797,matrix.pi-ei.com/PropertyDetail/All?MarketID=54&PropertyID=163
