"","Brand","Store.Number","Street.Address","City","State.Province","Postcode","Longitude","Latitude"
"1","Starbucks","76795-96265","250 S Colonial Dr","Alabaster","AL","350074657",-86.81,33.23
"2","Starbucks","13210-95453","345 South Colonial Dr","Alabaster","AL","350074690",-86.8,33.22
"3","Starbucks","10796-102254","2171 Kent Dairy Rd","Alabaster","AL","350075387",-86.83,33.21
"4","Starbucks","10248-100069","1286 Hwy 72 East","Athens","AL","356114404",-86.95,34.78
"5","Starbucks","47255-121766","300 Dean Rd","Auburn","AL","368304404",-85.46,32.61
"6","Starbucks","22803-218127","Magnolia Street","Auburn","AL","36849",-85.48,32.61
"7","Starbucks","78065-105597","Quad Center, 255 Duncan Dr","Auburn","AL","36849",-85.49,32.6
"8","Starbucks","76912-128666","4889 Promenade Pkwy","Bessemer","AL","350227305",-86.93,33.33
"9","Starbucks","72614-22325","4616 Highway 280","Birmingham","AL","352425028",-86.71,33.43
"10","Starbucks","13779-108621","1658 Montclair Rd, Suite 100","Birmingham","AL","352102410",-86.72,33.53
"11","Starbucks","24427-237908","615 18th Street","Birmingham","AL","35233",-86.8,33.51
"12","Starbucks","18675-189964","5900 Messer Airport Way","Birmingham","AL","35212",-86.75,33.56
"13","Starbucks","11083-104088","231 State Farm Pkwy","Birmingham","AL","352090171",-86.83,33.45
"14","Starbucks","3478-92800","5405 US-280 East","Birmingham","AL","35242",-86.67,33.42
"15","Starbucks","78059-106248","2010 Brookwood Medical Center Drive","Birmingham","AL","352096804",-86.78,33.46
"16","Starbucks","25845-235684","1400 University Blvd","Birmingham","AL","35233",-86.81,33.5
"17","Starbucks","70067-133044","917 13th St","Birmingham","AL","352031624",-86.81,33.5
"18","Starbucks","23642-225124","308 20th St South, Suite 100","Birmingham","AL","35223",-86.8,33.51
"19","Starbucks","22706-222686","5900 Messer Airport Wy","Birmingham","AL","35212",-86.75,33.56
"20","Starbucks","75268-97436","810 Saint Vincents Dr","Birmingham","AL","352051601",-86.79,33.51
"21","Starbucks","13703-107628","1584 Montgomery Hwy","Birmingham","AL","352164524",-86.81,33.4
"22","Starbucks","6964-86620","3032 John Hawkins Pkwy","Birmingham","AL","352441001",-86.81,33.37
"23","Starbucks","8396-28812","1927 11th Avenue South","Birmingham","AL","352052603",-86.8,33.5
"24","Starbucks","72615-22327","1654 Gadsden Hwy","Birmingham","AL","352353104",-86.64,33.6
"25","Starbucks","17221-169985","1879 Cherokee Avenue, SW, Jubilee Square","Cullman","AL","35055",-86.84,34.15
"26","Starbucks","13211-104121","6830 Highway 90","Daphne","AL","365269520",-87.91,30.65
"27","Starbucks","76832-97609","2141 Point Mallard Pkwy","Decatur","AL","35601",-86.96,34.59
"28","Starbucks","13704-107959","902 Wimberly Drive SW","Decatur","AL","356033231",-87,34.56
"29","Starbucks","76742-95745","4601 Montgomery Hwy, Suite 300","Dothan","AL","363031522",-85.45,31.27
"30","Starbucks","17646-153585","1 Harrison Plz","Florence","AL","356320002",-87.68,34.8
"31","Starbucks","20271-202065","357 Cox Creek Parkway","Florence","AL","35630",-87.64,34.84
"32","Starbucks","9971-96354","2601 S. McKenzie Road, 900","Foley","AL","365353409",-87.68,30.38
"33","Starbucks","76843-111224","3489 Lowery Pkwy","Fultondale","AL","350681677",-86.81,33.61
"34","Starbucks","23672-230991","1724 W Grand Ave","Gadsden","AL","35904",-86.08,33.99
"35","Starbucks","23630-227625","659 Fieldstown Rd","Gardendale","AL","35071",-86.82,33.65
"36","Starbucks","76584-99835","3820 Gulf Shores Pkwy","Gulf Shores","AL","365422819",-87.68,30.3
"37","Starbucks","18944-175726","531 Brookwood Village","Homewood","AL","35209",-86.77,33.47
"38","Starbucks","24032-228009","5180 Medford Rd, Suite 108","Hoover","AL","35244",-86.85,33.36
"39","Starbucks","6965-85181","4710 Hwy 280 east","Hoover","AL","35242",-86.7,33.42
"40","Starbucks","5108-145307","5561 Grove Blvd, Riverchase Galleria","Hoover","AL","352264600",-86.83,33.4
"41","Starbucks","8488-38759","3000 Riverchase Galleria, 124","Hoover","AL","352442315",-86.81,33.38
"42","Starbucks","10127-99686","3421 Memorial Drive NW","Huntsville","AL","358015317",-86.59,34.77
"43","Starbucks","72653-48479","2750 Carl T Jones Dr SE, 7","Huntsville","AL","358024913",-86.55,34.68
"44","Starbucks","9543-97230","800 Airport Rd, Suite A","Huntsville","AL","358021350",-86.57,34.69
"45","Starbucks","9507-96863","2003 Whitesburg Drive, Suite D","Huntsville","AL","358014543",-86.58,34.72
"46","Starbucks","12493-152666","7090 University Dr","Huntsville","AL","35806",-86.71,34.75
"47","Starbucks","72635-32262","6275 University Dr","Huntsville","AL","358061776",-86.68,34.74
"48","Starbucks","10062-99521","1015 North Memorial Pkwy","Huntsville","AL","358015927",-86.6,34.74
"49","Starbucks","11428-104120","7779 Highway 72 West","Madison","AL","357588751",-86.74,34.75
"50","Starbucks","48885-260445","4579 Wall Triana Hwy","Madison","AL","35758",-86.75,34.71
"51","Starbucks","16910-165028","8207 Highway 72 W","Madison","AL","35758",-86.76,34.75
"52","Starbucks","19891-192724","5901 USA Dr N","Mobile","AL","36688",-88.18,30.7
"53","Starbucks","9970-97273","3255 Airport Blvd, Bel Air Mall","Mobile","AL","366063201",-88.12,30.68
"54","Starbucks","11673-105401","3494 BEL AIR MALL, G7","Mobile","AL","366063406",-88.12,30.67
"55","Starbucks","25695-236913","3075 Government Blvd, Suite B100","Mobile","AL","36606",-88.12,30.65
"56","Starbucks","72658-64920","790 Shillinger Rd S, Shoppes of Midtown","Mobile","AL","366958979",-88.23,30.67
"57","Starbucks","11324-104129","1510 Government St","Mobile","AL","366042006",-88.07,30.68
"58","Starbucks","8724-93235","390 Schillinger Road","Mobile","AL","366958960",-88.23,30.68
"59","Starbucks","10537-96355","1363 Hillcrest Rd","Mobile","AL","366953925",-88.19,30.66
"60","Starbucks","8581-86640","3901 Airport Blvd","Mobile","AL","366081621",-88.14,30.68
"61","Starbucks","10538-101306","3451 Spring Hill Ave, Oliver Creek Crossings","Mobile","AL","366081559",-88.13,30.7
"62","Starbucks","10772-101748","6501 Atlanta Hwy","Montgomery","AL","361174226",-86.18,32.38
"63","Starbucks","21849-215404","2576 Berryhill Rd","Montgomery","AL","36117",-86.16,32.36
"64","Starbucks","3426-240988","1601 Eastern Blvd","Montgomery","AL","36106",-86.22,32.36
"65","Starbucks","9809-97244","3110 Zelda Road","Montgomery","AL","361062692",-86.26,32.35
"66","Starbucks","2960-85962","6911 East Chase Parkway","Montgomery","AL","36117",-86.17,32.36
"67","Starbucks","10771-102253","7790 Vaughn, Mountain Brook Village","Montgomery","AL","361161337",-86.18,32.34
"68","Starbucks","8418-41260","2738 Cahaba Rd","Mountain Brook","AL","352232304",-86.77,33.48
"69","Starbucks","76396-80263","2640 Enterprise Dr","Opelika","AL","368011511",-85.41,32.62
"70","Starbucks","25201-233569","2460 Enterprise Dr","Opelika","AL","36801",-85.37,32.64
"71","Starbucks","9544-97240","2056 Interstate Drive","Opelika","AL","368015498",-85.4,32.62
"72","Starbucks","24727-236464","25773 Perdido Beach Blvd","Orange Beach","AL","36561",-87.59,30.27
"73","Starbucks","76606-101463","400 Oxford Exchange Blvd","Oxford","AL","362033459",-85.78,33.61
"74","Starbucks","9738-97528","1011 Hwy 21 South","Oxford","AL","36203",-85.83,33.61
"75","Starbucks","20585-202066","2588 Cobbs Ford Road","Prattville","AL","36066",-86.39,32.46
"76","Starbucks","76796-108570","2754 Legends Pkwy","Prattville","AL","36066",-86.43,32.47
"77","Starbucks","10249-96359","30350 State Hwy 181, Suite A","Spanish Fort","AL","365275694",-87.85,30.67
"78","Starbucks","3453-93234","1420 Gadsden Hwy, BAMA Dining Services/Starbucks Coffee","Trussville","AL","352353126",-86.65,33.6
"79","Starbucks","72121-3608","1000 McCorvey Dr., UoA-Ferguson Center","Tuscaloosa","AL","35487",-87.55,33.21
"80","Starbucks","13482-94577","1800 McFarland Blvd, Suite 600","Tuscaloosa","AL","354045875",-87.53,33.2
"81","Starbucks","72668-65003","1901 13th Ave E","Tuscaloosa","AL","354044785",-87.51,33.2
"82","Starbucks","48066-207044","838 Paul W Bryant Drive","Tuscaloosa","AL","35401",-87.55,33.21
"83","Starbucks","9587-97243","3130 Cahaba Heights Rd","Vestavia Hills","AL","352435243",-86.74,33.46
"84","Starbucks","8560-79440","700 Montgomery Hwy, Suite 100","Vestavia Hills","AL","352161867",-86.79,33.45
