"","Brand","Store.Number","Street.Address","City","State.Province","Postcode","Longitude","Latitude"
"1","Starbucks","11037-97631","1195 Springs Center South Blvd, Altamonte","Altamonte Springs","FL","327141942",-81.39,28.69
"2","Starbucks","24857-232566","886 W State Road, West Town Corners","Altamonte Springs","FL","32714",-81.42,28.67
"3","Starbucks","8475-31199","150 South SR 434, 1087, Renaissance Center","Altamonte Springs","FL","32714",-81.42,28.66
"4","Starbucks","11387-105395","355 E Altamonte Drive, 1700","Altamonte Springs","FL","327014407",-81.38,28.66
"5","Starbucks","29952-254207","503 E Altamonte Drive","Altamonte Springs","FL","32701",-81.37,28.66
"6","Starbucks","11956-98744","3850 E. SR 436","Apopka","FL","32703",-81.44,28.67
"7","Starbucks","9907-98589","1720 S Orange Blossom Trail","Apopka","FL","327037745",-81.47,28.65
"8","Starbucks","8316-5449","19127 Biscayne Blvd.","Aventura","FL","331802310",-80.15,25.95
"9","Starbucks","8275-1577","19501 Biscayne Blvd, #1685","Aventura","FL","33242",-80.14,25.96
"10","Starbucks","8566-79262","18215 Biscayne Blvd","Aventura","FL","331602506",-80.15,25.94
"11","Starbucks","49266-238016","19999 West Country Club Dr","Aventura","FL","33180",-80.14,25.96
"12","Starbucks","22364-193144","715 Theatre of the Stars Drive","Bay Lake","FL","32830",-81.56,28.36
"13","Starbucks","9517-95430","5072 S Conway Rd","Belle Isle","FL","328121258",-81.33,28.48
"14","Starbucks","8248-696","9961 W Glades Road","Boca Raton","FL","334343920",-80.2,26.37
"15","Starbucks","10354-100248","9704 Clint Moore Rd","Boca Raton","FL","334961036",-80.2,26.41
"16","Starbucks","8235-1067","22113 Powerline Rd.","Boca Raton","FL","334335046",-80.15,26.35
"17","Starbucks","8588-85183","698 Yamato Rd, Building #1, Federal & 5th","Boca Raton","FL","33434",-80.1,26.39
"18","Starbucks","8257-191205","1830 N FEDERAL HWY, Unit 1, Boca Town Center","Boca Raton","FL","33432",-80.08,26.37
"19","Starbucks","11388-105377","6000 Glades Rd, Town Center Boca","Boca Raton","FL","334317208",-80.13,26.37
"20","Starbucks","11605-102741","6000 W. Glades Road, K122, Corporate Centre at Boca Raton","Boca Raton","FL","334317208",-80.13,26.37
"21","Starbucks","8334-12112","7775 Glades Rd, #300","Boca Raton","FL","334344180",-80.17,26.37
"22","Starbucks","8307-7052","5250 Towne Center Circle, #117","Boca Raton","FL","334861067",-80.12,26.36
"23","Starbucks","8261-1535","302 Plaza Real","Boca Raton","FL","334323933",-80.08,26.35
"24","Starbucks","8262-1068","17940 N. Military Trail, Suite 600, Glades Plaza","Boca Raton","FL","334962411",-80.12,26.41
"25","Starbucks","8354-4092","2200 West Glades Road, 102","Boca Raton","FL","334317309",-80.13,26.37
"26","Starbucks","75289-44839","777 Glades Rd","Boca Raton","FL","334316424",-80.1,26.37
"27","Starbucks","22555-220044","27250 Bay Landing Dr","Bonita Springs","FL","34135",-81.81,26.34
"28","Starbucks","76473-97108","10201 Hagen Beach Rd","Boynton Beach","FL","334373758",-80.17,26.53
"29","Starbucks","13563-107228","1500 Gateway Blvd, 130","Boynton Beach","FL","334267219",-80.09,26.55
"30","Starbucks","8805-94142","306 N. Congress Ave","Boynton Beach","FL","334263416",-80.09,26.53
"31","Starbucks","17947-179784","4742 North Congress Avenue","Boynton Beach","FL","33426",-80.09,26.57
"32","Starbucks","76749-106133","6500 Congress Ave","Boynton Beach","FL","33426",-80.08,26.53
"33","Starbucks","13236-104290","5783 Manatee Ave W","Bradenton","FL","342092540",-82.62,27.5
"34","Starbucks","11248-103874","7386 52nd Place East","Bradenton","FL","342038914",-82.46,27.44
"35","Starbucks","19070-191185","6521 SR 64","Bradenton","FL","34208",-82.48,27.49
"36","Starbucks","13874-109745","8155 Lakewood Main St., Space P-102","Bradenton","FL","342025057",-82.44,27.39
"37","Starbucks","11679-105826","102 Manatee Ave East","Bradenton","FL","342081930",-82.56,27.49
"38","Starbucks","3485-91461","7484 Cortez Rd","Bradenton","FL","342102444",-82.64,27.46
"39","Starbucks","26774-244572","4220 53rd Ave E, Unit 101","Bradenton","FL","34203",-82.51,27.45
"40","Starbucks","8541-186204","5250 14th Street W., Brandon Town Center","Bradenton","FL","34207",-82.58,27.45
"41","Starbucks","14074-114624","459 Brandon Town Center Mall, Suite 885","Brandon","FL","335114756",-82.33,27.93
"42","Starbucks","8549-72560","11029 Causeway Blvd, Unit E","Brandon","FL","335111999",-82.33,27.92
"43","Starbucks","76151-93558","187 Brandon Town Ctr Dr, Regency Square Shopping Center","Brandon","FL","335114752",-82.32,27.94
"44","Starbucks","8534-52580","2350 West Brandon Blvd","Brandon","FL","335114717",-82.32,27.94
"45","Starbucks","10355-98749","1265 E Brandon Blvd","Brandon","FL","335115530",-82.26,27.94
"46","Starbucks","8592-221244","459 Brandon Town Center Mall, 9070","Brandon","FL","33511",-82.33,27.93
"47","Starbucks","10192-98751","13163 Cortez Blvd.","Brooksville","FL","346137804",-82.51,28.53
"48","Starbucks","13317-103549","740 N Tyndall Pkwy","Callaway","FL","324043218",-85.59,30.16
"49","Starbucks","16887-175725","2430 Santa Barbara Blvd","Cape Coral","FL","339144485",-81.97,26.61
"50","Starbucks","11607-242367","2390 Surfside Boulevard, Suite 101","Cape Coral","FL","33914",-82.02,26.61
"51","Starbucks","11783-104279","1860 NE Pine Island Rd","Cape Coral","FL","339091744",-81.93,26.67
"52","Starbucks","29496-248064","2207 Del Prado Blvd S, Unit 1","Cape Coral","FL","33990",-81.94,26.61
"53","Starbucks","21921-207684","4802 Chester St","Cape Coral","FL","33904",-81.96,26.56
"54","Starbucks","76810-111305","1850 NE Pine Island Rd","Cape Coral","FL","339091733",-81.94,26.67
"55","Starbucks","75824-102331","5400 Plantation Road","Captiva","FL","339246000",-82.19,26.53
"56","Starbucks","76464-97608","4410 S USHwy 17-92, Casselberry Exchange Shopping Center","Casselberry","FL","327073290",-81.34,28.67
"57","Starbucks","9516-95434","168 Semoran Blvd., Casselberry Commons Shopping Center","Casselberry","FL","327073000",-81.34,28.66
"58","Starbucks","10231-97300","2535 Howell Branch Rd.","Casselberry","FL","327076553",-81.32,28.63
"59","Starbucks","11396-105347","715 Bloom Street","Celebration","FL","347474696",-81.54,28.32
"60","Starbucks","76113-79324","2747 Gulf To Bay Blvd","Clearwater","FL","337593945",-82.72,27.96
"61","Starbucks","13709-108226","4000 Ulmerton Rd.","Clearwater","FL","337624103",-82.69,27.89
"62","Starbucks","29670-140451","400 Mandalay Ave","Clearwater","FL","33767",-82.83,27.98
"63","Starbucks","8603-84240","2539 Countryside Blvd, Northwood Plaza","Clearwater","FL","337613506",-82.73,28.01
"64","Starbucks","8447-27969","2560 McMullen Booth Road","Clearwater","FL","337614182",-82.71,28.01
"65","Starbucks","18691-181784","2195 Gulf to Bay Blvd","Clearwater","FL","33765",-82.75,27.96
"66","Starbucks","8594-87964","27001 US Hwy 19 N, Clearwater Mall","Clearwater","FL","337613402",-82.73,28.02
"67","Starbucks","2924-78341","2719 Gulf to Bay Blvd, Suite 1120, Weisman Building","Clearwater","FL","337594951",-82.73,27.96
"68","Starbucks","8379-19581","433 Cleveland Street, Countryside Mall","Clearwater","FL","337554004",-82.8,27.97
"69","Starbucks","11249-103362","2573 E Highway 50","Clermont","FL","347116051",-81.71,28.55
"70","Starbucks","76103-78187","2660 E Hwy 50","Clermont","FL","347116034",-81.7,28.55
"71","Starbucks","13969-109205","628 Cagan View Rd.","Clermont","FL","347146566",-81.68,28.36
"72","Starbucks","24560-224084","301 W Cocoa Beach Causeway","Cocoa Beach","FL","32931",-80.61,28.36
"73","Starbucks","75752-95744","4001 N Atlantic Ave","Cocoa Beach","FL","329313507",-80.61,28.36
"74","Starbucks","13493-105160","4425 Lyons Rd, F-111","Coconut Creek","FL","330734385",-80.19,26.28
"75","Starbucks","9701-85182","6111 Lyons Road, Space 101","Coconut Creek","FL","330734741",-80.19,26.3
"76","Starbucks","8254-137084","3015 Grand Ave","Coconut Grove","FL","331335102",-80.24,25.73
"77","Starbucks","19877-200964","2550 S Bayshore Drive, Suite 101, Village of Merrick Park","Coconut Grove","FL","33133",-80.23,25.73
"78","Starbucks","75245-80249","1350 Miller Drive, Rm #132","Coral Gables","FL","33124",-80.28,25.72
"79","Starbucks","8228-993","200 Miracle Mile","Coral Gables","FL","331345908",-80.26,25.75
"80","Starbucks","8256-1382","1122 S Dixie Hwy","Coral Gables","FL","331462901",-80.27,25.72
"81","Starbucks","19812-107345","1330 Miller Drive","Coral Gables","FL","33124",-80.28,25.72
"82","Starbucks","11784-104774","475 South Dixie Hwy, Coral Square","Coral Gables","FL","331462202",-80.26,25.73
"83","Starbucks","22184-214324","9469 W Atlantic Blvd","Coral Springs","FL","33071",-80.25,26.24
"84","Starbucks","76831-108131","9600  Westview Dr","Coral Springs","FL","330762514",-80.25,26.3
"85","Starbucks","76905-98112","4400 N State Rd 7","Coral Springs","FL","330733353",-80.2,26.28
"86","Starbucks","17006-169464","6202 West Sample Road","Coral Springs","FL","33067",-80.21,26.27
"87","Starbucks","8281-1647","2800 University Drive","Coral Springs","FL","330655010",-80.25,26.27
"88","Starbucks","8494-62181","6051 Coral Ridge Dr","Coral Springs","FL","330763306",-80.28,26.31
"89","Starbucks","14328-112944","2520 S. Ferdon Blvd.","Crestview","FL","325368464",-86.57,30.73
"90","Starbucks","19033-185564","19151 South Dixie Highway, Southland Mall","Cutler Bay","FL","33189",-80.36,25.59
"91","Starbucks","11040-103663","20505 South Dixie Hwy, 1261","Cutler Bay","FL","331891229",-80.37,25.57
"92","Starbucks","76888-122708","5000 Grandview Pkwy","Davenport","FL","338372300",-81.64,28.23
"93","Starbucks","21823-206684","2145 S University Drive, Davie Shopping Center","Davie","FL","33323",-80.25,26.1
"94","Starbucks","9695-91811","4751 S. University Drive","Davie","FL","333283819",-80.25,26.06
"95","Starbucks","76368-97220","5800 S University Dr","Davie","FL","333286102",-80.25,26.05
"96","Starbucks","2964-239093","5796 S University Drive, 101","Davie","FL","33328",-80.25,26.05
"97","Starbucks","13970-109626","1388 W International Speedway Boulevard, Suite 100","Daytona Beach","FL","32114",-81.06,29.2
"98","Starbucks","8443-209184","110 S. Ocean Ave","Daytona Beach","FL","32118",-81.01,29.22
"99","Starbucks","76336-89123","2380 W International Spdwy Blvd","Daytona Beach","FL","321141116",-81.08,29.18
"100","Starbucks","78092-119269","600 S Clyde Morris Blvd","Daytona Beach","FL","321143966",-81.05,29.19
"101","Starbucks","28075-247866","102 Dunlawton Blvd","Daytona Beach Shores","FL","32118",-80.97,29.15
"102","Starbucks","15488-157144","1200 S Federal Hwy","Deerfield Beach","FL","334417037",-80.09,26.3
