"","Brand","Store.Number","Street.Address","City","State.Province","Postcode","Longitude","Latitude"
"1","Starbucks","3509-142865","2055 Airport Hwy","Alcoa","TN","377013316",-83.99,35.81
"2","Starbucks","11293-104144","121 Cusick Rd","Alcoa","TN","377013125",-83.98,35.81
"3","Starbucks","8928-95178","5253 Hickory Hollow Pkwy","Antioch","TN","370133003",-86.66,36.05
"4","Starbucks","18985-190184","917 Decatur Pike, Stage Centre","Athens","TN","37303",-84.61,35.45
"5","Starbucks","8402-13859","2955 Kirby-Whitten Pkwy","Bartlett","TN","38134",-89.84,35.21
"6","Starbucks","8444-27050","8121 Highway 100","Bellevue","TN","372214213",-86.96,36.04
"7","Starbucks","76417-95742","780 Old Hickory Blvd","Brentwood","TN","370274527",-86.78,36.04
"8","Starbucks","11203-103818","6680 Nolensville Road, Lot 3/ Mill Towne Center","Brentwood","TN","370278803",-86.69,36
"9","Starbucks","9778-97231","198 Westpark Drive","Brentwood","TN","370275003",-86.8,36.04
"10","Starbucks","8338-7609","269 Franklin Road","Brentwood","TN","370275214",-86.79,36.03
"11","Starbucks","3839-147944","615 McCallie Ave","Chattanooga","TN","37403",-85.3,35.05
"12","Starbucks","75646-87982","827 Broad St","Chattanooga","TN","374022622",-85.31,35.05
"13","Starbucks","2870-92742","1951 Gunbarrel Rd","Chattanooga","TN","374213106",-85.16,35.03
"14","Starbucks","11818-105040","2217 Hamilton Place Blvd","Chattanooga","TN","374216005",-85.16,35.04
"15","Starbucks","75182-82497","975 East 3rd Street","Chattanooga","TN","374032147",-85.29,35.05
"16","Starbucks","11069-103668","5610 Brainerd Rd, Hamilton Place","Chattanooga","TN","374115310",-85.21,35.01
"17","Starbucks","16527-155466","601 College St","Clarksville","TN","370440001",-87.35,36.53
"18","Starbucks","23399-229305","1674 Ft Campbell Blvd","Clarksville","TN","37042",-87.41,36.58
"19","Starbucks","10845-102017","2235 Madison Street","Clarksville","TN","370435287",-87.27,36.51
"20","Starbucks","23474-230264","2141 Wilma Rudolph Blvd","Clarksville","TN","37040",-87.31,36.56
"21","Starbucks","9927-98925","100 South Hampton","Clarksville","TN","370405033",-87.29,36.59
"22","Starbucks","10211-99817","653 West Inman St","Cleveland","TN","373111786",-84.88,35.16
"23","Starbucks","76881-121299","4570 Frontage Rd NW","Cleveland","TN","373122905",-84.84,35.26
"24","Starbucks","17746-178124","615 Paul Huff Parkway NW","Cleveland","TN","37312",-84.86,35.21
"25","Starbucks","10084-99523","3603 S Houston Levee Rd","Collierville","TN","380179014",-89.73,35.05
"26","Starbucks","8362-16534","897 Poplar","Collierville","TN","380175145",-89.69,35.05
"27","Starbucks","76241-91588","325 New Byhalia Rd","Collierville","TN","380173705",-89.69,35.05
"28","Starbucks","25983-237524","1202 S James Campbell Blvd","Columbia","TN","38401",-87.06,35.6
"29","Starbucks","10616-101627","1105 Interstate Drive","Cookeville","TN","385014133",-85.51,36.14
"30","Starbucks","70334-135770","1000 North Dixie","Cookeville","TN","38505",-85.5,36.17
"31","Starbucks","10791-102282","1181 North Houston Levee","Cordova","TN","380186616",-89.73,35.16
"32","Starbucks","76119-90840","475 N Germantown Pkwy","Cordova","TN","380186209",-89.8,35.14
"33","Starbucks","11555-105318","970 N. Germantown","Cordova","TN","380185892",-89.79,35.15
"34","Starbucks","22992-226884","1641 N. Germantown Pkwy","Cordova","TN","38016",-89.79,35.17
"35","Starbucks","20852-208193","265 Highland Square","Crossville","TN","38555",-85.04,35.96
"36","Starbucks","18984-190185","11817 Kingston Pike","Farragut","TN","37934",-84.12,35.9
"37","Starbucks","73972-107551","189 Brooklawn Street","Farragut","TN","379342875",-84.18,35.88
"38","Starbucks","17007-144605","5201 N Broadway St & Knox Rd","Fountain City","TN","37918",-83.92,36.05
"39","Starbucks","76341-95743","3064 Columbia","Franklin","TN","370647424",-86.88,35.89
"40","Starbucks","29015-245748","1203 Murfreesboro Road","Franklin","TN","37067",-86.83,35.92
"41","Starbucks","8349-5898","555 Cool Springs Rd, Coolsprings Galleria","Franklin","TN","370672680",-86.82,35.95
"42","Starbucks","19546-196065","1800 Galleria Blvd, 2386, Cool Springs Galleria","Franklin","TN","37067",-86.81,35.96
"43","Starbucks","8477-18459","204 S. ROYAL OAKS BLVD, Carothers Place","Franklin","TN","370645313",-86.83,35.91
"44","Starbucks","10172-99764","9175 Carothers Parkway, 101","Franklin","TN","370676317",-86.8,35.96
"45","Starbucks","8394-27036","438 Main Street, Space 168","Franklin","TN","370642720",-86.87,35.92
"46","Starbucks","10646-101838","875 Nashville Pike","Gallatin","TN","370663103",-86.47,36.38
"47","Starbucks","6172-148992","2011 Nashville Pike","Gallatin","TN","370663162",-86.52,36.35
"48","Starbucks","23323-217687","903 Parkway, 101","Gatlinburg","TN","37738",-83.52,35.71
"49","Starbucks","76207-89121","9235 US Hwy 72","Germantown","TN","38138",-89.76,35.06
"50","Starbucks","9965-99083","7570 Poplar Avenue","Germantown","TN","381383807",-89.81,35.09
"51","Starbucks","24873-230636","7735 Farmington Blvd","Germantown","TN","38138",-89.81,35.1
"52","Starbucks","26128-102998","123 Northcreek Blvd","Goodletsville","TN","370721998",-86.7,36.33
"53","Starbucks","79286-100709","1820 Roane State Highway","Harriman","TN","377488307",-84.55,35.89
